dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.358756,-4.372435,0.000125,0.005000,0.100000,2.000000,3.674908
0.050000,12.354445,-4.374979,0.005131,0.100117,1.902348,36.046959,3.674551
0.050000,12.344756,-4.380690,0.016377,0.224930,2.496260,11.878250,3.673747
0.050000,12.326367,-4.391499,0.037708,0.426605,4.033496,30.744702,3.672324
0.050000,12.296923,-4.408736,0.071826,0.682366,5.115211,21.634308,3.670110
0.050000,12.254749,-4.433273,0.120619,0.975866,5.870012,15.096014,3.666946
0.050000,12.197771,-4.466141,0.186397,1.315555,6.793782,18.475398,3.662685
0.050000,12.124097,-4.508162,0.271212,1.696306,7.615002,16.424410,3.657198
0.050000,12.032078,-4.559900,0.376779,2.111334,8.300565,13.711251,3.650381
0.050000,11.920380,-4.621600,0.504386,2.552131,8.815948,10.307660,3.642159
0.050000,11.789150,-4.692573,0.653578,2.983850,8.634385,-3.631262,3.632574
0.050000,11.639958,-4.771304,0.822269,3.373827,7.799541,-16.696863,3.621774
0.050000,11.474655,-4.856160,1.008080,3.716215,6.847755,-19.035723,3.609931
0.050000,11.295356,-4.945436,1.208376,4.005915,5.793999,-21.075123,3.597231
0.050000,11.104437,-5.037414,1.420295,4.238388,4.649456,-22.890870,3.583879
0.050000,10.904506,-5.130413,1.640798,4.410062,3.433472,-24.319676,3.570093
0.050000,10.698370,-5.222837,1.866706,4.518142,2.161606,-25.437312,3.556100
0.050000,10.489011,-5.313211,2.094737,4.560637,0.849911,-26.233907,3.542133
0.050000,10.279542,-5.400215,2.321557,4.536386,-0.485032,-26.698866,3.528432
0.050000,10.073180,-5.482692,2.543791,4.444681,-1.834089,-26.981128,3.515236
0.050000,9.873810,-5.559427,2.757417,4.272530,-3.443027,-32.178763,3.502825
0.050000,9.685647,-5.629294,2.958133,4.014323,-5.164133,-34.422117,3.491488
0.050000,9.512412,-5.691521,3.142205,3.681433,-6.657811,-29.873554,3.481474
