dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.241277,7.683331,0.000125,0.005000,0.100000,2.000000,3.674908
0.050000,5.241277,7.683331,0.000625,0.015000,0.200000,2.000000,3.674551
0.050000,5.241277,7.683331,0.001750,0.030000,0.300000,2.000000,3.673747
0.050000,5.240073,7.682624,0.003750,0.050000,0.400000,2.000000,3.672324
0.050000,5.237376,7.681045,0.006875,0.075000,0.500000,2.000000,3.670110
0.050000,5.233487,7.678782,0.011375,0.105000,0.600000,2.000000,3.666946
0.050000,5.228181,7.675721,0.017500,0.140000,0.700000,2.000000,3.662685
0.050000,5.221232,7.671758,0.025500,0.180000,0.800000,2.000000,3.657198
0.050000,5.212407,7.666796,0.035625,0.225000,0.900000,2.000000,3.650381
0.050000,5.201465,7.660752,0.048125,0.275000,1.000000,2.000000,3.642159
0.050000,5.188271,7.653617,0.063125,0.325000,1.000000,-0.000000,3.632574
0.050000,5.172793,7.645450,0.080625,0.375000,1.000000,0.000000,3.621774
0.050000,5.155001,7.636317,0.100625,0.425000,1.000000,0.000000,3.609931
0.050000,5.134859,7.626289,0.123125,0.475000,1.000000,0.000000,3.597231
0.050000,5.112336,7.615440,0.148125,0.525000,1.000000,0.000000,3.583879
0.050000,5.087401,7.603843,0.175625,0.575000,1.000000,-0.000000,3.570093
0.050000,5.060026,7.591572,0.205625,0.625000,1.000000,0.000000,3.556100
0.050000,5.030186,7.578694,0.238125,0.675000,1.000000,0.000000,3.542133
0.050000,4.997862,7.565272,0.273125,0.725000,1.000000,-0.000000,3.528432
0.050000,4.963039,7.551358,0.310625,0.775000,1.000000,0.000000,3.515236
0.050000,4.925824,7.537039,0.350500,0.820000,0.900000,-2.000000,3.502825
0.050000,4.886449,7.522424,0.392500,0.860000,0.800000,-2.000000,3.491488
0.050000,4.845156,7.507597,0.436375,0.895000,0.700000,-2.000000,3.481474
0.050000,4.802193,7.492617,0.481875,0.925000,0.600000,-2.000000,3.472993
0.050000,4.757814,7.477523,0.528750,0.950000,0.500000,-2.000000,3.466217
0.050000,4.712281,7.462333,0.576750,0.970000,0.400000,-2.000000,3.461286
0.050000,4.665857,7.447050,0.625625,0.985000,0.300000,-2.000000,3.458312
0.050000,4.618809,7.431663,0.675125,0.995000,0.200000,-2.000000,3.457378
0.050000,4.571407,7.416155,0.725000,1.000000,0.100000,-2.000000,3.458543
0.050000,4.523920,7.400501,0.775000,1.000000,0.000000,-2.000000,3.461845
0.050000,4.476503,7.384640,0.825000,1.000000,0.000000,0.000000,3.467313
0.050000,4.429191,7.368467,0.875000,1.000000,0.000000,0.000000,3.474996
0.050000,4.382023,7.351878,0.925000,1.000000,0.000000,0.000000,3.484963
0.050000,4.335043,7.334765,0.975000,1.000000,0.000000,0.000000,3.497302
0.050000,4.288300,7.317015,1.025000,1.000000,0.000000,0.000000,3.512121
0.050000,4.241849,7.298515,1.075000,1.000000,0.000000,0.000000,3.529542
0.050000,4.195754,7.279146,1.125000,1.000000,0.000000,0.000000,3.549705
0.050000,4.150089,7.258786,1.175000,1.000000,0.000000,0.000000,3.572761
0.050000,4.104937,7.237311,1.225000,1.000000,0.000000,0.000000,3.598870
0.050000,4.060398,7.214593,1.275000,1.000000,0.000000,0.000000,3.628186
0.050000,4.016584,7.190507,1.325000,1.000000,0.000000,0.000000,3.660854
0.050000,3.973625,7.164929,1.375000,1.000000,0.000000,0.000000,3.696989
0.050000,3.931667,7.137742,1.425000,1.000000,0.000000,0.000000,3.736660
0.050000,3.890871,7.108840,1.475000,1.000000,0.000000,0.000000,3.779862
0.050000,3.851415,7.078135,1.525000,1.000000,0.000000,0.000000,3.826498
0.050000,3.813487,7.045563,1.575000,1.000000,0.000000,0.000000,3.876350
0.050000,3.777280,7.011088,1.625000,1.000000,0.000000,0.000000,3.929063
0.050000,3.742985,6.974712,1.675000,1.000000,0.000000,0.000000,3.984140
0.050000,3.710780,6.936474,1.725000,1.000000,0.000000,0.000000,4.040954
0.050000,3.680822,6.896452,1.775000,1.000000,0.000000,0.000000,4.098780
0.050000,3.653234,6.854760,1.825000,1.000000,0.000000,0.000000,4.156839
0.050000,3.628102,6.811543,1.875000,1.000000,0.000000,0.000000,4.214359
0.050000,3.605472,6.766965,1.925000,1.000000,0.000000,0.000000,4.270631
0.050000,3.585344,6.721203,1.975000,1.000000,0.000000,0.000000,4.325049
0.050000,3.567681,6.674432,2.025000,1.000000,0.000000,0.000000,4.377146
0.050000,3.552416,6.626825,2.075000,1.000000,0.000000,0.000000,4.426591
0.050000,3.539454,6.578539,2.125000,1.000000,0.000000,0.000000,4.473192
0.050000,3.528685,6.529717,2.175000,1.000000,0.000000,0.000000,4.516870
0.050000,3.519985,6.480483,2.225000,1.000000,0.000000,0.000000,4.557640
0.050000,3.513229,6.430944,2.275000,1.000000,0.000000,0.000000,4.595585
0.050000,3.508289,6.381192,2.325000,1.000000,0.000000,0.000000,4.630832
0.050000,3.505042,6.331300,2.375000,1.000000,0.000000,0.000000,4.663541
