dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.073864,7.967713,0.002500,0.100000,2.000000,40.000000,3.673213
0.050000,5.068900,7.964811,0.008250,0.114998,0.299960,-34.000791,3.667910
0.050000,5.060543,7.960004,0.017891,0.192814,1.556329,25.127368,3.659245
0.050000,5.048670,7.953336,0.031508,0.272341,1.590532,0.684057,3.647479
0.050000,5.033115,7.944868,0.049219,0.354217,1.637528,0.939926,3.632967
0.050000,5.013673,7.934675,0.071171,0.439049,1.696639,1.182221,3.616157
0.050000,4.990106,7.922848,0.097538,0.527349,1.765989,1.386997,3.597575
0.050000,4.962158,7.909487,0.128516,0.619556,1.844137,1.562962,3.577812
0.050000,4.929556,7.894699,0.164315,0.715978,1.928453,1.686322,3.557508
0.050000,4.892028,7.878585,0.205156,0.816822,2.016869,1.768312,3.537331
0.050000,4.851370,7.862052,0.249048,0.877830,1.220161,-15.934156,3.518822
0.050000,4.809616,7.845902,0.293816,0.895372,0.350839,-17.386438,3.502971
0.050000,4.766849,7.830072,0.339419,0.912049,0.333543,-0.345911,3.489646
0.050000,4.723143,7.814495,0.385818,0.927977,0.318562,-0.299627,3.478734
0.050000,4.678565,7.799094,0.432981,0.943274,0.305933,-0.252591,3.470140
0.050000,4.633172,7.783790,0.480885,0.958064,0.295816,-0.202325,3.463786
0.050000,4.587015,7.768498,0.529508,0.972477,0.288251,-0.151302,3.459616
0.050000,4.540139,7.753128,0.578840,0.986639,0.283247,-0.100086,3.457591
0.050000,4.492580,7.737585,0.628874,1.000680,0.280804,-0.048858,3.457694
0.050000,4.444372,7.721768,0.679611,1.014726,0.280927,0.002450,3.459926
0.050000,4.395544,7.705568,0.731056,1.028906,0.283599,0.053453,3.464305
0.050000,4.346122,7.688870,0.783223,1.043347,0.288831,0.104638,3.470873
0.050000,4.296128,7.671550,0.836132,1.058179,0.296623,0.155842,3.479689
0.050000,4.245587,7.653473,0.889809,1.073527,0.306958,0.206699,3.490830
0.050000,4.194524,7.634496,0.944284,1.089516,0.319785,0.256540,3.504394
0.050000,4.142967,7.614459,0.999598,1.106270,0.335084,0.305978,3.520497
0.050000,4.090951,7.593194,1.055792,1.123890,0.352407,0.346470,3.539271
0.050000,4.038522,7.570515,1.112916,1.142475,0.371700,0.385848,3.560862
0.050000,3.985740,7.546223,1.171020,1.162083,0.392147,0.408937,3.585424
0.050000,3.932683,7.520104,1.230157,1.182738,0.413107,0.419200,3.613117
0.050000,3.879459,7.491935,1.290377,1.204390,0.433048,0.398834,3.644093
0.050000,3.826205,7.461482,1.351722,1.226912,0.450430,0.347639,3.678483
0.050000,3.773104,7.428515,1.414225,1.250053,0.462828,0.247955,3.716381
0.050000,3.720385,7.392812,1.477896,1.273425,0.467435,0.092138,3.757823
0.050000,3.668331,7.354178,1.542720,1.296486,0.461215,-0.124392,3.802762
0.050000,3.617281,7.312463,1.608646,1.318515,0.440589,-0.412526,3.851041
0.050000,3.567625,7.267582,1.675580,1.338667,0.403035,-0.751080,3.902377
0.050000,3.519789,7.219533,1.743380,1.356008,0.346817,-1.124359,3.956342
0.050000,3.474217,7.168418,1.811861,1.369626,0.272362,-1.489105,4.012374
0.050000,3.431333,7.114442,1.880799,1.378752,0.182520,-1.796832,4.069789
0.050000,3.391520,7.057911,1.949942,1.382871,0.082377,-2.002856,4.127829
0.050000,3.355078,6.999211,2.019034,1.381833,-0.020762,-2.062792,4.185713
0.050000,3.322211,6.938777,2.087828,1.375878,-0.119100,-1.966763,4.242692
0.050000,3.293013,6.877057,2.156105,1.365548,-0.206603,-1.750058,4.298105
0.050000,3.267476,6.814485,2.223688,1.351662,-0.277708,-1.422090,4.351412
0.050000,3.245502,6.751447,2.290447,1.335162,-0.330011,-1.046068,4.402215
0.050000,3.226927,6.688275,2.356293,1.316925,-0.364736,-0.694505,4.450255
0.050000,3.211541,6.625233,2.421185,1.297841,-0.381683,-0.338936,4.495398
0.050000,3.199111,6.562527,2.485111,1.278531,-0.386187,-0.090080,4.537615
0.050000,3.189394,6.500301,2.548091,1.259591,-0.378813,0.147491,4.576959
0.050000,3.182151,6.438658,2.610158,1.241347,-0.364873,0.278792,4.613536
0.050000,3.177156,6.377660,2.671360,1.224040,-0.346149,0.374482,4.647493
0.050000,3.174199,6.317339,2.731754,1.207873,-0.323342,0.456136,4.678997
0.050000,3.173088,6.257707,2.791397,1.192853,-0.300388,0.459076,4.708222
0.050000,3.173650,6.198761,2.850345,1.178973,-0.277608,0.455600,4.735346
0.050000,3.175731,6.140485,2.908658,1.166262,-0.254214,0.467893,4.760539
0.050000,3.832385,6.220131,3.570125,13.229328,241.261327,4830.310813,1.630441
0.050000,3.828765,6.274532,3.624645,1.090414,-242.778291,-9680.792364,1.644141
0.050000,3.824358,6.329137,3.679428,1.095656,0.104852,4857.662856,1.658636
0.050000,3.819110,6.383953,3.734495,1.101328,0.113425,0.171468,1.673992
0.050000,3.812961,6.438986,3.789871,1.107519,0.123836,0.208219,1.690284
0.050000,3.805847,6.494239,3.845579,1.114177,0.133150,0.186289,1.707589
0.050000,3.797694,6.549717,3.901653,1.121474,0.145944,0.255863,1.725997
0.050000,3.788424,6.605420,3.958123,1.129398,0.158473,0.250597,1.745603
0.050000,3.777948,6.661346,4.015021,1.137967,0.171385,0.258229,1.766510
0.050000,3.766172,6.717489,4.072386,1.147289,0.186444,0.301176,1.788829
0.050000,3.752987,6.773837,4.130256,1.157400,0.202216,0.315451,1.812682
0.050000,3.738279,6.830372,4.188673,1.168336,0.218718,0.330039,1.838196
0.050000,3.721919,6.887069,4.247683,1.180217,0.237620,0.378036,1.865504
0.050000,3.703769,6.943888,4.307330,1.192940,0.254466,0.336913,1.894745
0.050000,3.683681,7.000774,4.367659,1.206576,0.272713,0.364953,1.926054
0.050000,3.661497,7.057657,4.428716,1.221127,0.291014,0.366014,1.959566
0.050000,3.637051,7.114440,4.490537,1.236424,0.305941,0.298538,1.995399
0.050000,3.610177,7.171001,4.553158,1.252421,0.319958,0.280334,2.033654
0.050000,3.580709,7.227182,4.616597,1.268792,0.327417,0.149183,2.074394
0.050000,3.548496,7.282790,4.680862,1.285300,0.330164,0.054936,2.117637
0.050000,3.513404,7.337594,4.745938,1.301515,0.324298,-0.117313,2.163339
0.050000,3.475337,7.391321,4.811784,1.316914,0.307976,-0.326447,2.211375
0.050000,3.434247,7.443664,4.878329,1.330898,0.279683,-0.565861,2.261534
0.050000,3.390145,7.494292,4.945471,1.342849,0.239018,-0.813282,2.313503
0.050000,3.343117,7.542857,5.013076,1.352089,0.184798,-1.084411,2.366875
0.050000,3.293322,7.589025,5.080980,1.358078,0.119774,-1.300483,2.421155
0.050000,3.240997,7.632486,5.149001,1.360417,0.046794,-1.459589,2.475789
0.050000,3.186441,7.672984,5.216944,1.358870,-0.030956,-1.554995,2.530190
0.050000,3.130003,7.710328,5.284619,1.353503,-0.107341,-1.527715,2.583775
0.050000,3.072052,7.744408,5.351848,1.344575,-0.178551,-1.424196,2.636007
0.050000,3.012961,7.775190,5.418476,1.332555,-0.240394,-1.236865,2.686416
0.050000,2.953084,7.802718,5.484378,1.318042,-0.290263,-0.997377,2.734624
0.050000,2.892738,7.827097,5.549462,1.301687,-0.327097,-0.736682,2.780351
0.050000,2.832197,7.848481,5.613669,1.284132,-0.351111,-0.480278,2.823416
0.050000,2.771686,7.867056,5.676966,1.265941,-0.363808,-0.253946,2.863724
0.050000,2.711384,7.883027,5.739347,1.247628,-0.366274,-0.049318,2.901254
0.050000,2.651426,7.896609,5.800824,1.229540,-0.361749,0.090498,2.936043
0.050000,2.591910,7.908013,5.861424,1.211990,-0.350995,0.215099,2.968171
0.050000,2.532900,7.917442,5.921182,1.195156,-0.336698,0.285930,2.997746
0.050000,2.474441,7.925091,5.980139,1.179156,-0.319993,0.334102,3.024897
0.050000,2.416554,7.931140,6.038342,1.164050,-0.302110,0.357658,3.049757
0.050000,2.359247,7.935753,6.095834,1.149844,-0.284135,0.359495,3.072465
0.050000,2.302517,7.939083,6.152661,1.136542,-0.266038,0.361942,3.093156
0.050000,2.246356,7.941269,6.208865,1.124087,-0.249100,0.338759,3.111959
0.050000,2.190746,7.942437,6.264487,1.112427,-0.233184,0.318318,3.128995
0.050000,2.135671,7.942700,6.319563,1.101515,-0.218240,0.298881,3.144378
0.050000,2.081110,7.942164,6.374126,1.091278,-0.204748,0.269843,3.158209
0.050000,2.027042,7.940925,6.428209,1.081650,-0.192563,0.243699,3.170582
0.050000,1.973445,7.939071,6.481838,1.072576,-0.181484,0.221583,3.181579
0.050000,1.920299,7.936681,6.535037,1.063987,-0.171783,0.194030,3.191274
0.050000,1.867585,7.933831,6.587828,1.055819,-0.163350,0.168649,3.199732
0.050000,1.815284,7.930591,6.640229,1.048028,-0.155828,0.150445,3.207009
0.050000,1.763379,7.927026,6.692257,1.040550,-0.149552,0.125515,3.213153
0.050000,1.711854,7.923198,6.743924,1.033337,-0.144264,0.105759,3.218205
0.050000,1.660696,7.919163,6.795241,1.026344,-0.139867,0.087936,3.222196
0.050000,1.609892,7.914980,6.846217,1.019520,-0.136476,0.067822,3.225154
0.050000,1.559432,7.910700,6.896858,1.012820,-0.133985,0.049817,3.227096
0.050000,1.509308,7.906376,6.947168,1.006205,-0.132316,0.033397,3.228036
0.050000,1.459513,7.902058,6.997150,0.999629,-0.131519,0.015924,3.227980
0.050000,1.410044,7.897796,7.046802,0.993050,-0.131576,-0.001134,3.226927
0.050000,1.360898,7.893638,7.096123,0.986426,-0.132478,-0.018043,3.224870
0.050000,1.312077,7.889634,7.145109,0.979716,-0.134199,-0.034410,3.221797
0.050000,1.263582,7.885832,7.193753,0.972875,-0.136829,-0.052617,3.217687
0.050000,1.215420,7.882281,7.242046,0.965856,-0.140376,-0.070940,3.212513
0.050000,1.167599,7.879030,7.289976,0.958615,-0.144816,-0.088785,3.206243
0.050000,1.120132,7.876129,7.337532,0.951105,-0.150191,-0.107506,3.198835
0.050000,1.075203,7.873734,7.382525,0.899858,-1.024951,-17.495196,3.190664
0.050000,1.035107,7.871928,7.422661,0.802734,-1.942476,-18.350502,3.182355
0.050000,0.999936,7.870635,7.457857,0.703904,-1.976601,-0.682498,3.174223
