dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.058202,-5.400605,0.094371,3.774824,75.496486,1509.929718,2.682138
0.050000,4.408664,-6.517607,3.626125,70.635088,1337.205279,25234.175871,2.955414
0.050000,13.255667,-5.118321,12.583103,179.139569,2170.089614,16657.686690,3.641583
0.050000,16.350038,-2.760303,16.473525,77.808427,-2026.622847,-83934.249213,3.967745
0.050000,8.381679,-7.398896,25.693682,184.403136,2131.894191,83170.340751,3.358674
0.050000,1.444248,-7.426125,32.631166,138.749681,-913.069108,-60899.265967,2.933518
0.050000,-2.894841,-5.892169,37.233417,92.045018,-934.093260,-420.483049,2.680253
0.050000,-3.933268,-5.349320,38.405174,23.435139,-1372.197569,-8762.086180,2.661653
0.050000,-3.188796,-5.678590,39.219210,16.280740,-143.087995,24582.191476,2.771442
0.050000,-1.577578,-6.158091,40.900266,33.621105,346.807301,9797.905923,2.929780
0.050000,-0.074761,-6.377297,42.418985,30.374386,-64.934370,-8234.833416,3.062996
0.050000,0.683667,-6.412098,43.178212,15.184531,-303.797106,-4777.254718,3.128411
0.050000,0.837164,-6.413110,43.331711,3.069993,-242.290764,1230.126834,3.141593
0.050000,0.837164,-6.413110,43.331711,0.000000,-61.399853,3617.818215,3.141593
