dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,13.475053,19.695646,0.094371,3.774824,75.496486,1509.929718,2.682138
0.050000,9.591603,20.998518,4.190548,81.923541,1562.974336,29749.556997,2.955414
0.050000,-0.168009,19.454122,14.071599,197.621028,2313.949738,15019.508043,3.641583
0.050000,-4.239177,16.215582,19.273767,104.043353,-1871.553496,-83710.064677,3.967745
0.050000,2.351041,19.943954,26.845538,151.435433,947.841593,56387.901778,3.358674
0.050000,7.228397,19.969927,31.722964,97.548504,-1077.738581,-40511.603472,2.933518
0.050000,9.569314,19.180622,34.193367,49.408061,-962.808848,2298.594644,2.680253
0.050000,8.995057,19.487314,34.844390,13.020463,-727.751961,4701.137752,2.661653
0.050000,6.940371,20.425049,37.102947,45.171144,643.013618,27415.311577,2.771442
0.050000,4.308936,21.216148,39.850726,54.955575,195.688614,-8946.500077,2.929780
0.050000,2.123673,21.536264,42.059311,44.171696,-215.677571,-8227.323711,3.062996
0.050000,1.052736,21.585469,43.131377,21.441334,-454.607249,-4778.593563,3.128411
0.050000,0.837164,21.586890,43.346954,4.311544,-342.595800,2240.228996,3.141593
0.050000,0.837164,21.586890,43.346954,0.000000,-86.230878,5127.298427,3.141593
