dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,19.767405,6.082525,0.087132,3.485262,69.705234,1394.104682,4.643115
0.050000,18.733731,1.569561,4.716962,92.596612,1782.227003,34250.435379,4.329725
0.050000,11.705686,-6.039856,15.075371,207.168180,2291.431360,10184.087134,3.604442
0.050000,5.653954,-7.614856,21.328697,125.066518,-1642.033239,-78669.291970,3.197851
0.050000,1.450093,-7.330837,25.542141,84.268889,-815.952569,16521.613405,2.952143
0.050000,-1.711194,-6.425550,28.830496,65.767098,-370.035822,8918.334936,2.778543
0.050000,-3.100113,-5.849163,30.334265,30.075363,-713.834708,-6875.977731,2.725818
0.050000,-3.358024,-5.735751,30.616010,5.634910,-488.809051,4500.513143,2.747946
0.050000,-3.105256,-5.832463,30.886648,5.412757,-4.443062,9687.319785,2.797085
0.050000,-2.780009,-5.941329,31.229631,6.859669,28.938228,667.625804,2.838944
0.050000,-2.646840,-5.981772,31.368806,2.783493,-81.523519,-2209.234947,2.854453
0.050000,-2.646840,-5.981772,31.368806,0.000000,-55.669856,517.073255,2.854453
0.050000,-2.646840,-5.981772,31.368806,0.000000,0.000000,1113.397124,2.854453
