dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,5.473846,7.136322,0.002500,0.100000,2.000000,40.000000,4.711887
0.050000,5.473827,7.130668,0.008154,0.113072,0.261435,-34.771300,4.706292
0.050000,5.473726,7.121314,0.017509,0.187107,1.480709,24.385477,4.696763
0.050000,5.473435,7.108365,0.030460,0.259030,1.438448,-0.845217,4.682980
0.050000,5.472803,7.091988,0.046850,0.327798,1.375362,-1.261722,4.664465
0.050000,5.471633,7.072414,0.066458,0.392161,1.287274,-1.761753,4.640552
0.050000,5.469683,7.049970,0.088987,0.450580,1.168367,-2.378147,4.610340
0.050000,5.466670,7.025092,0.114047,0.501191,1.012230,-3.122738,4.572646
0.050000,5.462287,6.998361,0.141135,0.541770,0.811573,-4.013140,4.525951
0.050000,5.456224,6.970516,0.169633,0.569942,0.563451,-4.962432,4.468379
0.050000,5.448619,6.943720,0.197487,0.557096,-0.256939,-16.407815,4.401288
0.050000,5.439904,6.919618,0.223116,0.512576,-0.890390,-12.669013,4.327454
0.050000,5.430226,6.898174,0.246643,0.470534,-0.840831,0.991190,4.247251
0.050000,5.419662,6.879156,0.268398,0.435096,-0.708771,2.641182,4.161680
0.050000,5.408153,6.862145,0.288936,0.410771,-0.486489,4.445652,4.072424
0.050000,5.395454,6.846609,0.309002,0.401320,-0.189021,5.949357,3.981736
0.050000,5.381149,6.832030,0.329427,0.408503,0.143654,6.653496,3.892136
0.050000,5.364743,6.818025,0.350998,0.431414,0.458209,6.291107,3.806007
0.050000,5.345786,6.804408,0.374339,0.466817,0.708077,4.997361,3.725241
0.050000,5.323974,6.791172,0.399853,0.510282,0.869291,3.224268,3.651059
0.050000,5.299186,6.778428,0.427724,0.557426,0.942872,1.471622,3.584018
0.050000,5.271473,6.766333,0.457962,0.604748,0.946444,0.071439,3.524145
0.050000,5.241006,6.755033,0.490457,0.649904,0.903120,-0.866472,3.471112
0.050000,5.208027,6.744634,0.525036,0.691587,0.833658,-1.389230,3.424392
0.050000,5.172805,6.735201,0.561500,0.729268,0.753636,-1.600453,3.383380
0.050000,5.135607,6.726754,0.599645,0.762912,0.672872,-1.615286,3.347463
0.050000,5.096680,6.719278,0.639283,0.792764,0.597041,-1.516619,3.316069
0.050000,5.056246,6.712737,0.680243,0.819201,0.528733,-1.366155,3.288679
0.050000,5.014496,6.707073,0.722376,0.842645,0.468877,-1.197116,3.264840
0.050000,4.971594,6.702221,0.765551,0.863513,0.417365,-1.030235,3.244163
0.050000,4.927676,6.698107,0.809661,0.882190,0.373543,-0.876439,3.226315
0.050000,4.882858,6.694656,0.854612,0.899026,0.336718,-0.736499,3.211017
0.050000,4.842975,6.692184,0.894571,0.799178,-1.996955,-46.673458,3.195848
0.050000,4.798617,6.690152,0.938975,0.888088,1.778202,75.503129,3.178893
0.050000,4.754208,6.688871,0.983404,0.888565,0.009532,-35.373392,3.162011
0.050000,4.709751,6.688336,1.027864,0.889208,0.012858,0.066516,3.145226
0.050000,4.665250,6.688546,1.072365,0.890015,0.016154,0.065916,3.128564
0.050000,4.620711,6.689495,1.116914,0.890988,0.019448,0.065887,3.112049
0.050000,4.576137,6.691178,1.161520,0.892121,0.022665,0.064329,3.095704
0.050000,4.531532,6.693588,1.206190,0.893404,0.025651,0.059734,3.079555
0.050000,4.486899,6.696718,1.250932,0.894835,0.028620,0.059379,3.063623
0.050000,4.442244,6.700561,1.295753,0.896413,0.031568,0.058944,3.047929
0.050000,4.397568,6.705107,1.340659,0.898123,0.034201,0.052662,3.032494
0.050000,4.352877,6.710347,1.385657,0.899958,0.036697,0.049916,3.017338
0.050000,4.308171,6.716269,1.430753,0.901918,0.039206,0.050183,3.002478
