dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.437774,3.384137,0.002500,0.100000,2.000000,40.000000,6.265323
0.050000,1.444457,3.384006,0.009185,0.133691,0.673823,-26.523542,6.262274
0.050000,1.458637,3.383673,0.023368,0.283671,2.999589,46.515315,6.257172
0.050000,1.478500,3.383085,0.043240,0.397430,2.275191,-14.487959,6.249985
0.050000,1.504054,3.382117,0.068813,0.511462,2.280632,0.108821,6.240673
0.050000,1.535309,3.380608,0.100104,0.625821,2.287191,0.131187,6.229183
0.050000,1.572271,3.378356,0.137134,0.740602,2.295624,0.168657,6.215455
0.050000,1.614937,3.375118,0.179923,0.855781,2.303564,0.158802,6.199427
0.050000,1.663297,3.370611,0.228492,0.971384,2.312071,0.170131,6.181032
0.050000,1.717323,3.364505,0.282863,1.087408,2.320484,0.168274,6.160210
0.050000,1.774127,3.356844,0.340181,1.146361,1.179044,-22.828802,6.138030
0.050000,1.830821,3.347908,0.397574,1.147874,0.030262,-22.975643,6.115622
0.050000,1.887357,3.337687,0.455027,1.149064,0.023804,-0.129157,6.093032
0.050000,1.943691,3.326179,0.512525,1.149941,0.017549,-0.125114,6.070310
0.050000,1.999773,3.313387,0.570047,1.150459,0.010356,-0.143842,6.047510
0.050000,2.055557,3.299315,0.627579,1.150621,0.003228,-0.142567,6.024684
0.050000,2.110995,3.283978,0.685099,1.150412,-0.004168,-0.147923,6.001891
0.050000,2.166042,3.267392,0.742590,1.149826,-0.011717,-0.150980,5.979186
0.050000,2.220654,3.249580,0.800033,1.148861,-0.019305,-0.151764,5.956627
0.050000,2.274788,3.230567,0.857409,1.147520,-0.026823,-0.150361,5.934272
0.050000,2.328407,3.210386,0.914700,1.145811,-0.034169,-0.146917,5.912175
0.050000,2.381474,3.189072,0.971888,1.143758,-0.041072,-0.138049,5.890391
0.050000,2.433958,3.166663,1.028956,1.141357,-0.048011,-0.138780,5.868970
0.050000,2.485831,3.143201,1.085888,1.138644,-0.054264,-0.125058,5.847960
0.050000,2.537070,3.118732,1.142670,1.135636,-0.060154,-0.117816,5.827406
0.050000,2.587655,3.093300,1.199288,1.132359,-0.065547,-0.107863,5.807348
0.050000,2.637571,3.066954,1.255730,1.128839,-0.070399,-0.097034,5.787824
0.050000,2.686807,3.039743,1.311985,1.125104,-0.074696,-0.085942,5.768867
0.050000,2.735357,3.011716,1.368044,1.121180,-0.078486,-0.075789,5.750503
0.050000,2.783218,2.982923,1.423899,1.117097,-0.081668,-0.063647,5.732759
0.050000,2.830392,2.953411,1.479543,1.112877,-0.084396,-0.054554,5.715655
0.050000,2.876882,2.923231,1.534970,1.108548,-0.086582,-0.043726,5.699206
0.050000,2.922696,2.892428,1.590177,1.104132,-0.088320,-0.034752,5.683427
0.050000,2.967845,2.861049,1.645159,1.099651,-0.089612,-0.025852,5.668327
0.050000,3.012343,2.829140,1.699915,1.095124,-0.090553,-0.018806,5.653912
0.050000,3.056203,2.796742,1.754444,1.090569,-0.091091,-0.010777,5.640189
0.050000,3.099445,2.763900,1.808744,1.086000,-0.091371,-0.005602,5.627157
0.050000,3.142087,2.730651,1.862815,1.081432,-0.091366,0.000104,5.614818
0.050000,3.184148,2.697036,1.916659,1.076876,-0.091131,0.004699,5.603169
0.050000,3.225651,2.663091,1.970276,1.072338,-0.090747,0.007681,5.592208
0.050000,3.266619,2.628852,2.023668,1.067830,-0.090156,0.011833,5.581930
0.050000,3.307074,2.594353,2.076835,1.063354,-0.089524,0.012639,5.572330
0.050000,3.347040,2.559626,2.129781,1.058918,-0.088727,0.015931,5.563403
0.050000,3.386542,2.524702,2.182507,1.054520,-0.087949,0.015568,5.555141
0.050000,3.425603,2.489612,2.235016,1.050166,-0.087080,0.017367,5.547540
0.050000,3.464249,2.454384,2.287308,1.045855,-0.086235,0.016902,5.540592
0.050000,3.502503,2.419045,2.339388,1.041585,-0.085402,0.016672,5.534291
0.050000,3.540392,2.383622,2.391255,1.037357,-0.084558,0.016867,5.528631
0.050000,3.577938,2.348142,2.442914,1.033165,-0.083829,0.014593,5.523606
0.050000,3.615166,2.312628,2.494364,1.029012,-0.083073,0.015115,5.519210
0.050000,3.652101,2.277106,2.545609,1.024890,-0.082431,0.012829,5.515439
0.050000,3.688765,2.241598,2.596649,1.020797,-0.081868,0.011262,5.512288
0.050000,3.725183,2.206129,2.647485,1.016729,-0.081355,0.010264,5.509753
0.050000,3.761376,2.170719,2.698119,1.012681,-0.080959,0.007916,5.507832
0.050000,3.797369,2.135393,2.748551,1.008648,-0.080650,0.006187,5.506521
0.050000,3.833183,2.100171,2.798783,1.004627,-0.080429,0.004426,5.505820
0.050000,3.868839,2.065076,2.848813,1.000611,-0.080317,0.002226,5.505728
0.050000,3.904360,2.030129,2.898643,0.996596,-0.080301,0.000335,5.506243
0.050000,3.939766,1.995353,2.948272,0.992577,-0.080389,-0.001772,5.507368
0.050000,3.975078,1.960767,2.997699,0.988548,-0.080575,-0.003720,5.509103
0.050000,4.010316,1.926395,3.046925,0.984505,-0.080851,-0.005525,5.511451
0.050000,4.045499,1.892259,3.095947,0.980443,-0.081243,-0.007823,5.514414
0.050000,4.080647,1.858379,3.144765,0.976358,-0.081705,-0.009243,5.517996
0.050000,4.115777,1.824778,3.193377,0.972245,-0.082251,-0.010928,5.522202
0.050000,4.150909,1.791480,3.241782,0.968100,-0.082903,-0.013038,5.527035
0.050000,4.186059,1.758505,3.289978,0.963921,-0.083578,-0.013502,5.532501
0.050000,4.221245,1.725878,3.337963,0.959703,-0.084354,-0.015506,5.538606
0.050000,4.256482,1.693621,3.385735,0.955445,-0.085164,-0.016217,5.545357
0.050000,4.291788,1.661758,3.433293,0.951147,-0.085975,-0.016214,5.552759
0.050000,4.327176,1.630314,3.480633,0.946803,-0.086872,-0.017945,5.560818
0.050000,4.362662,1.599312,3.527754,0.942420,-0.087668,-0.015906,5.569542
0.050000,4.398259,1.568776,3.574653,0.937992,-0.088552,-0.017689,5.578937
0.050000,4.433981,1.538733,3.621330,0.933528,-0.089278,-0.014519,5.589008
0.050000,4.469840,1.509205,3.667781,0.929026,-0.090030,-0.015046,5.599761
0.050000,4.505848,1.480220,3.714006,0.924498,-0.090577,-0.010932,5.611200
0.050000,4.540952,1.452627,3.758656,0.893005,-0.629850,-10.785457,5.622963
0.050000,4.573327,1.427781,3.799467,0.816210,-1.535905,-18.121104,5.634338
0.050000,4.602189,1.406130,3.835546,0.721592,-1.892364,-7.129187,5.644898
0.050000,4.627498,1.387539,3.866949,0.628060,-1.870637,0.434541,5.654478
0.050000,4.649218,1.371885,3.893723,0.535480,-1.851605,0.380645,5.662935
0.050000,4.667318,1.359055,3.915909,0.443711,-1.835364,0.324824,5.670144
0.050000,4.681767,1.348953,3.933540,0.352615,-1.821936,0.268554,5.676004
0.050000,4.692544,1.341501,3.946642,0.262051,-1.811268,0.213368,5.680434
0.050000,4.699631,1.336639,3.955236,0.171882,-1.803379,0.157766,5.683375
0.050000,4.703016,1.334328,3.959335,0.081971,-1.798225,0.103096,5.684787
0.050000,4.703782,1.333806,3.960261,0.018533,-1.268766,10.589182,5.685107
0.050000,4.703782,1.333806,3.960261,0.000000,-0.370653,17.962242,5.685107
