dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.195314,-10.943811,0.000125,0.005000,0.100000,2.000000,6.266287
0.050000,1.192473,-10.943763,0.002966,0.056826,1.036527,18.730539,6.266084
0.050000,1.186080,-10.943652,0.009360,0.127876,1.421002,7.689498,6.265627
0.050000,1.174712,-10.943448,0.020730,0.227394,1.990358,11.387129,6.264815
0.050000,1.159488,-10.943159,0.035957,0.304542,1.542946,-8.948251,6.263545
0.050000,1.138353,-10.942724,0.057096,0.422785,2.364861,16.438307,6.261714
0.050000,1.109513,-10.942069,0.085943,0.576945,3.083207,14.366913,6.259216
0.050000,1.071713,-10.941101,0.123756,0.756250,3.586104,10.057946,6.255943
0.050000,1.023665,-10.939692,0.171825,0.961384,4.102669,10.331291,6.251787
0.050000,0.964034,-10.937665,0.231491,1.193309,4.638498,10.716589,6.246632
0.050000,0.892027,-10.934807,0.303554,1.441274,4.959302,6.416075,6.240413
0.050000,0.807417,-10.930877,0.388255,1.694019,5.054916,1.912282,6.233113
0.050000,0.709949,-10.925581,0.485867,1.952238,5.164380,2.189276,6.224712
0.050000,0.599358,-10.918579,0.596680,2.216250,5.280240,2.317213,6.215190
0.050000,0.475365,-10.909470,0.721007,2.486542,5.405837,2.511935,6.204524
0.050000,0.337702,-10.897799,0.859163,2.763127,5.531697,2.517193,6.192691
0.050000,0.186126,-10.883049,1.011455,3.045837,5.654198,2.450023,6.179670
0.050000,0.020427,-10.864642,1.178173,3.334366,5.770586,2.327751,6.165440
0.050000,-0.159540,-10.841941,1.359566,3.627862,5.869914,1.986571,6.149983
0.050000,-0.353837,-10.814252,1.555827,3.925208,5.946923,1.540176,6.133286
0.050000,-0.561757,-10.780945,1.766397,4.211412,5.724081,-4.456843,6.115397
0.050000,-0.781781,-10.741526,1.989925,4.470548,5.182718,-10.827262,6.096430
0.050000,-1.012223,-10.695601,2.224898,4.699465,4.578347,-12.087406,6.076512
0.050000,-1.251219,-10.642899,2.469636,4.894763,3.905955,-13.447839,6.055781
0.050000,-1.496758,-10.583305,2.722304,5.053350,3.171734,-14.684416,6.034384
0.050000,-1.746710,-10.516879,2.980932,5.172558,2.384161,-15.751474,6.012482
0.050000,-1.998866,-10.443873,3.243444,5.250243,1.553693,-16.609354,5.990240
0.050000,-2.250990,-10.364734,3.507696,5.285048,0.696103,-17.151797,5.967828
0.050000,-2.500872,-10.280103,3.771521,5.276490,-0.171160,-17.345261,5.945421
0.050000,-2.746389,-10.190795,4.032776,5.225109,-1.027618,-17.129160,5.923188
0.050000,-2.986145,-10.097536,4.290032,5.145111,-1.599950,-11.446647,5.901241
0.050000,-3.219441,-10.000889,4.542554,5.050444,-1.893345,-5.867902,5.879632
