dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.499423,5.612746,0.002500,0.100000,2.000000,40.000000,6.282553
0.050000,1.504088,5.612750,0.007165,0.093297,-0.134065,-42.681299,0.001638
0.050000,1.515342,5.612790,0.018419,0.225081,2.635676,55.394820,0.005414
0.050000,1.531102,5.612916,0.034180,0.315228,1.802957,-16.654375,0.010682
0.050000,1.551375,5.613201,0.054455,0.405493,1.805301,0.046868,0.017426
0.050000,1.576166,5.613735,0.079251,0.495926,1.808645,0.066889,0.025619
0.050000,1.605481,5.614628,0.108580,0.586578,1.813048,0.088059,0.035227
0.050000,1.639329,5.616007,0.142456,0.677515,1.818729,0.113622,0.046209
0.050000,1.677716,5.618019,0.180896,0.768811,1.825920,0.143814,0.058510
0.050000,1.720652,5.620827,0.223923,0.860541,1.834604,0.173676,0.072063
0.050000,1.765880,5.624412,0.269293,0.907399,0.937165,-17.948780,0.086093
0.050000,1.811139,5.628634,0.314749,0.909105,0.034113,-18.061038,0.099864
0.050000,1.856425,5.633481,0.360294,0.910904,0.035988,0.037504,0.113362
0.050000,1.901736,5.638945,0.405933,0.912791,0.037749,0.035211,0.126574
0.050000,1.947070,5.645013,0.451671,0.914760,0.039375,0.032520,0.139489
0.050000,1.992424,5.651673,0.497512,0.916803,0.040865,0.029809,0.152093
0.050000,2.037795,5.658915,0.543457,0.918915,0.042220,0.027106,0.164378
0.050000,2.083183,5.666724,0.589512,0.921088,0.043464,0.024863,0.176333
0.050000,2.128585,5.675087,0.635677,0.923314,0.044530,0.021323,0.187952
0.050000,2.173999,5.683992,0.681957,0.925589,0.045491,0.019229,0.199225
0.050000,2.219426,5.693424,0.728352,0.927906,0.046336,0.016890,0.210148
0.050000,2.264863,5.703368,0.774865,0.930259,0.047068,0.014641,0.220714
0.050000,2.310311,5.713811,0.821497,0.932643,0.047686,0.012361,0.230919
0.050000,2.355769,5.724737,0.868250,0.935053,0.048196,0.010208,0.240759
0.050000,2.401238,5.736130,0.915124,0.937484,0.048620,0.008482,0.250230
0.050000,2.446717,5.747976,0.962121,0.939932,0.048956,0.006725,0.259331
0.050000,2.492207,5.760260,1.009240,0.942392,0.049207,0.005016,0.268059
0.050000,2.537710,5.772964,1.056483,0.944862,0.049395,0.003748,0.276413
0.050000,2.583226,5.786074,1.103850,0.947338,0.049516,0.002422,0.284392
0.050000,2.628758,5.799573,1.151341,0.949817,0.049580,0.001276,0.291995
0.050000,2.674307,5.813446,1.198956,0.952296,0.049583,0.000067,0.299223
0.050000,2.719876,5.827676,1.246695,0.954774,0.049560,-0.000464,0.306075
0.050000,2.765466,5.842247,1.294557,0.957249,0.049497,-0.001261,0.312552
0.050000,2.811082,5.857143,1.342543,0.959719,0.049401,-0.001918,0.318655
0.050000,2.856725,5.872347,1.390652,0.962183,0.049278,-0.002447,0.324385
0.050000,2.902400,5.887844,1.438884,0.964639,0.049129,-0.002989,0.329742
0.050000,2.948110,5.903617,1.487238,0.967088,0.048988,-0.002823,0.334729
0.050000,2.993858,5.919649,1.535715,0.969530,0.048825,-0.003247,0.339345
0.050000,3.039650,5.935924,1.584313,0.971963,0.048658,-0.003346,0.343593
0.050000,3.085489,5.952427,1.633032,0.974387,0.048490,-0.003366,0.347474
0.050000,3.131381,5.969140,1.681873,0.976803,0.048316,-0.003487,0.350988
0.050000,3.177329,5.986048,1.730833,0.979211,0.048165,-0.003012,0.354138
0.050000,3.223340,6.003134,1.779914,0.981612,0.048015,-0.002994,0.356924
0.050000,3.269418,6.020382,1.829114,0.984006,0.047876,-0.002793,0.359348
0.050000,3.315569,6.037774,1.878434,0.986393,0.047749,-0.002524,0.361409
0.050000,3.361798,6.055296,1.927872,0.988775,0.047638,-0.002217,0.363110
0.050000,3.408112,6.072931,1.977430,0.991152,0.047541,-0.001944,0.364450
0.050000,3.454517,6.090661,2.027106,0.993526,0.047471,-0.001411,0.365431
0.050000,3.501017,6.108472,2.076901,0.995896,0.047415,-0.001120,0.366053
0.050000,3.547621,6.126345,2.126814,0.998265,0.047378,-0.000727,0.366316
0.050000,3.594334,6.144264,2.176846,1.000633,0.047363,-0.000317,0.366220
0.050000,3.641162,6.162213,2.226996,1.003002,0.047367,0.000096,0.365765
0.050000,3.688112,6.180175,2.277265,1.005372,0.047394,0.000540,0.364951
0.050000,3.735190,6.198132,2.327652,1.007744,0.047441,0.000942,0.363778
0.050000,3.782404,6.216067,2.378158,1.010119,0.047506,0.001287,0.362245
0.050000,3.829760,6.233964,2.428783,1.012498,0.047590,0.001681,0.360351
0.050000,3.877265,6.251804,2.479527,1.014883,0.047691,0.002032,0.358096
0.050000,3.924925,6.269571,2.530391,1.017273,0.047809,0.002355,0.355479
0.050000,3.972747,6.287245,2.581374,1.019671,0.047945,0.002719,0.352498
0.050000,4.020737,6.304810,2.632478,1.022075,0.048093,0.002959,0.349154
0.050000,4.068903,6.322246,2.683702,1.024487,0.048242,0.002982,0.345443
0.050000,4.117250,6.339535,2.735048,1.026908,0.048404,0.003234,0.341366
0.050000,4.165785,6.356658,2.786515,1.029336,0.048570,0.003320,0.336921
0.050000,4.214513,6.373597,2.838103,1.031773,0.048737,0.003339,0.332107
0.050000,4.263442,6.390331,2.889814,1.034219,0.048914,0.003551,0.326922
0.050000,4.312575,6.406842,2.941648,1.036672,0.049060,0.002906,0.321366
0.050000,4.361920,6.423108,2.993604,1.039132,0.049204,0.002889,0.315436
0.050000,4.411481,6.439110,3.045684,1.041599,0.049333,0.002585,0.309133
0.050000,4.461262,6.454828,3.097888,1.044071,0.049443,0.002189,0.302456
0.050000,4.511268,6.470239,3.150215,1.046547,0.049534,0.001824,0.295403
0.050000,4.561503,6.485324,3.202666,1.049026,0.049568,0.000674,0.287974
0.050000,4.611971,6.500061,3.255242,1.051505,0.049575,0.000156,0.280170
0.050000,4.662674,6.514427,3.307941,1.053981,0.049537,-0.000763,0.271991
0.050000,4.713615,6.528402,3.360763,1.056454,0.049451,-0.001729,0.263436
0.050000,4.764795,6.541962,3.413709,1.058919,0.049292,-0.003174,0.254509
0.050000,4.816215,6.555086,3.466778,1.061372,0.049070,-0.004447,0.245209
0.050000,4.867876,6.567750,3.519968,1.063811,0.048775,-0.005898,0.235541
0.050000,4.919777,6.579933,3.573280,1.066231,0.048393,-0.007630,0.225505
0.050000,4.971916,6.591610,3.626711,1.068626,0.047919,-0.009497,0.215106
0.050000,5.024292,6.602761,3.680261,1.070994,0.047354,-0.011302,0.204349
0.050000,5.076902,6.613360,3.733927,1.073328,0.046681,-0.013442,0.193238
0.050000,5.129740,6.623387,3.787709,1.075623,0.045894,-0.015753,0.181779
0.050000,5.182802,6.632819,3.841602,1.077871,0.044965,-0.018578,0.169979
0.050000,5.236081,6.641632,3.895606,1.080069,0.043957,-0.020162,0.157846
0.050000,5.289571,6.649806,3.949716,1.082209,0.042800,-0.023126,0.145389
0.050000,5.343262,6.657319,4.003930,1.084285,0.041511,-0.025785,0.132618
0.050000,5.397145,6.664150,4.058245,1.086289,0.040086,-0.028502,0.119543
0.050000,5.451209,6.670279,4.112655,1.088213,0.038490,-0.031928,0.106176
0.050000,5.505443,6.675686,4.167158,1.090054,0.036809,-0.033617,0.092530
0.050000,5.559833,6.680353,4.221748,1.091803,0.034987,-0.036441,0.078619
0.050000,5.614366,6.684262,4.276421,1.093454,0.033022,-0.039296,0.064457
0.050000,5.669026,6.687396,4.331171,1.095001,0.030931,-0.041826,0.050062
0.050000,5.723798,6.689740,4.385993,1.096437,0.028720,-0.044209,0.035449
0.050000,5.778664,6.691280,4.440881,1.097757,0.026400,-0.046406,0.020635
0.050000,5.832974,6.691973,4.495194,1.086272,-0.229695,-5.121902,0.003288
0.050000,5.891066,6.691464,4.553289,1.161888,1.512326,34.840420,6.261940
0.050000,5.950187,6.689401,4.612445,1.183135,0.424943,-21.747662,6.234187
0.050000,6.010444,6.685511,4.672828,1.207654,0.490366,1.308473,6.202717
0.050000,6.071948,6.679462,4.734629,1.236020,0.567335,1.539369,6.166946
0.050000,6.134803,6.670844,4.798073,1.268870,0.656995,1.793202,6.126194
0.050000,6.199091,6.659155,4.863414,1.306833,0.759260,2.045306,6.079687
0.050000,6.264838,6.643787,4.930934,1.350387,0.871077,2.236327,6.026574
0.050000,6.331971,6.624014,5.000917,1.399674,0.985737,2.293204,5.965985
0.050000,6.400240,6.599006,5.073623,1.454108,1.088677,2.058813,5.897137
0.050000,6.469129,6.567881,5.149217,1.511879,1.155425,1.334950,5.819522
0.050000,6.537752,6.529821,5.227688,1.569426,1.150937,-0.089767,5.733171
0.050000,6.604802,6.484268,5.308748,1.621208,1.035634,-2.306061,5.638958
0.050000,6.668612,6.431165,5.391764,1.660308,0.782015,-5.072374,5.538806
0.050000,6.727389,6.371140,5.475774,1.680210,0.398030,-7.679689,5.435631
0.050000,6.779582,6.305501,5.559635,1.677219,-0.059823,-9.157061,5.332910
0.050000,6.824214,6.235990,5.642241,1.652118,-0.502016,-8.843869,5.234002
0.050000,6.861024,6.164411,5.722731,1.609790,-0.846550,-6.890675,5.141522
0.050000,6.890368,6.092297,5.800586,1.557113,-1.053557,-4.140137,5.057041
0.050000,6.912987,6.020754,5.875619,1.500661,-1.129040,-1.509672,4.981128
0.050000,6.929255,5.953021,5.945279,1.393194,-2.149325,-20.405694,4.915954
0.050000,6.940033,5.892670,6.006585,1.226114,-3.341598,-23.845471,4.862970
0.050000,6.946834,5.840309,6.059386,1.056017,-3.401939,-1.206811,4.820618
0.050000,6.950927,5.795544,6.104338,0.899040,-3.139545,5.247882,4.786903
0.050000,6.953223,5.758009,6.141943,0.752109,-2.938624,4.018415,4.760303
0.050000,6.954373,5.727396,6.172577,0.612683,-2.788517,3.002148,4.739678
0.050000,6.954840,5.703462,6.196515,0.478762,-2.678417,2.201985,4.724194
0.050000,6.954950,5.686024,6.213954,0.348783,-2.599592,1.576501,4.713253
0.050000,6.954921,5.674951,6.225027,0.221456,-2.546539,1.061077,4.706451
0.050000,6.954886,5.670164,6.229815,0.095750,-2.514112,0.648526,4.703545
0.050000,6.954878,5.669333,6.230645,0.016603,-1.582939,18.623470,4.703043
0.050000,6.954878,5.669333,6.230645,0.000000,-0.332062,25.017535,4.703043
