dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.910725,-8.712365,0.083697,3.347872,66.957437,1339.148742,0.023746
0.050000,3.166682,-8.637144,1.341904,25.164150,436.325556,7387.362387,0.095702
0.050000,5.023209,-8.359901,3.219019,37.542293,247.562857,-3775.253987,0.199951
0.050000,7.007984,-7.845705,5.269318,41.005985,69.273852,-3565.780111,0.304619
0.050000,8.506401,-7.319471,6.857454,31.762722,-184.865258,-5082.782188,0.364270
0.050000,8.902103,-7.167992,7.281159,8.474101,-465.772428,-5618.143407,0.336614
0.050000,8.204438,-7.368398,8.007038,14.517565,120.869294,11732.834435,0.234665
0.050000,7.002469,-7.575495,9.226717,24.393582,197.520339,1533.020910,0.109364
0.050000,5.855338,-7.638005,10.375551,22.976677,-28.338116,-4517.169096,0.001198
0.050000,4.376681,-7.549903,11.856829,29.625571,132.977886,3226.320040,6.164304
0.050000,3.770254,-7.462663,12.469499,12.253408,-347.443262,-9608.422973,6.116422
0.050000,3.770254,-7.462663,12.469499,0.000000,-245.068157,2047.502101,6.116422
0.050000,3.770254,-7.462663,12.469499,0.000000,0.000000,4901.363146,6.116422
