dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.319554,3.368117,0.002500,0.100000,2.000000,40.000000,0.000079
0.050000,1.326146,3.368126,0.009091,0.131825,0.636508,-27.269845,0.002833
0.050000,1.337149,3.368182,0.020094,0.220065,1.764783,22.565500,0.007369
0.050000,1.352590,3.368345,0.035537,0.308842,1.775542,0.215177,0.013605
0.050000,1.372506,3.368694,0.055456,0.398379,1.790741,0.303982,0.021426
0.050000,1.396943,3.369331,0.079901,0.488904,1.810501,0.395202,0.030683
0.050000,1.425956,3.370376,0.108933,0.580649,1.834906,0.488095,0.041190
0.050000,1.459612,3.371959,0.142626,0.673849,1.864001,0.581908,0.052727
0.050000,1.497982,3.374224,0.181062,0.768737,1.897755,0.675085,0.065039
0.050000,1.541148,3.377317,0.224339,0.865540,1.936066,0.766216,0.077835
0.050000,1.586904,3.381175,0.270258,0.918363,1.056466,-17.591991,0.090204
0.050000,1.632982,3.385609,0.316548,0.925812,0.148976,-18.149806,0.101443
0.050000,1.679379,3.390574,0.363210,0.933239,0.148541,-0.008703,0.111558
0.050000,1.726093,3.396024,0.410242,0.940634,0.147892,-0.012978,0.120553
0.050000,1.773126,3.401915,0.457641,0.947990,0.147124,-0.015352,0.128432
0.050000,1.820476,3.408197,0.505407,0.955305,0.146295,-0.016581,0.135204
0.050000,1.868146,3.414824,0.553536,0.962578,0.145470,-0.016510,0.140874
0.050000,1.916140,3.421747,0.602026,0.969813,0.144698,-0.015437,0.145448
0.050000,1.964462,3.428916,0.650877,0.977014,0.144022,-0.013522,0.148930
0.050000,2.013117,3.436281,0.700086,0.984188,0.143481,-0.010820,0.151326
0.050000,2.062112,3.443789,0.749653,0.991343,0.143090,-0.007829,0.152638
0.050000,2.111455,3.451390,0.799578,0.998486,0.142868,-0.004420,0.152867
0.050000,2.161152,3.459030,0.849859,1.005628,0.142829,-0.000793,0.152014
0.050000,2.211214,3.466654,0.900498,1.012776,0.142969,0.002806,0.150078
0.050000,2.261648,3.474207,0.951495,1.019940,0.143284,0.006298,0.147057
0.050000,2.312465,3.481632,1.002851,1.027128,0.143762,0.009567,0.142947
0.050000,2.363674,3.488871,1.054569,1.034348,0.144384,0.012435,0.137742
0.050000,2.415282,3.495864,1.106649,1.041603,0.145110,0.014525,0.131438
