dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.411950,3.039641,0.094886,3.795421,75.908424,1518.168490,0.032292
0.050000,1.695781,3.060388,0.379542,7.590842,75.908424,0.000000,0.107555
0.050000,2.165628,3.125843,0.853970,11.386264,75.908424,0.000000,0.152839
0.050000,2.824901,3.204033,1.518168,15.181685,75.908424,-0.000000,0.050631
0.050000,3.664294,3.100089,2.372138,18.977106,75.908424,0.000000,6.013318
0.050000,4.699763,2.993881,3.415879,22.772527,75.908424,-0.000000,6.261563
0.050000,5.767387,2.874035,4.493760,20.342693,-48.596687,-2490.102229,5.988053
0.050000,6.534382,2.387229,5.416009,16.547272,-75.908424,-546.234750,5.449319
0.050000,6.939563,1.782362,6.148487,12.751851,-75.908424,-0.000000,5.061326
0.050000,6.939549,1.252338,6.691194,8.956429,-75.908424,0.000000,4.332007
0.050000,6.748702,0.957640,7.044130,5.161008,-75.908424,-0.000000,3.978225
0.050000,6.633077,0.842618,7.207295,1.365587,-75.908424,0.000000,3.875421
0.050000,6.607516,0.819987,7.241434,0.000000,-27.311737,971.933740,3.857336
0.050000,6.607516,0.819987,7.241434,0.000000,0.000000,546.234750,3.857336
