dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.319607,2.708117,0.002500,0.100000,2.000000,40.000000,0.000079
0.050000,1.328015,2.708129,0.010909,0.168175,1.363493,-12.730130,0.002833
0.050000,1.342012,2.708200,0.024905,0.279935,2.235204,17.434206,0.007369
0.050000,1.361569,2.708406,0.044463,0.391157,2.224448,-0.215109,0.013605
0.050000,1.386646,2.708845,0.069544,0.501619,2.209233,-0.304307,0.021426
0.050000,1.417190,2.709642,0.100099,0.611092,2.189467,-0.395327,0.030683
0.050000,1.453134,2.710936,0.136066,0.719345,2.165053,-0.488268,0.041190
0.050000,1.494396,2.712877,0.177373,0.826143,2.135954,-0.581977,0.052727
0.050000,1.540877,2.715620,0.223936,0.931252,2.102193,-0.675235,0.065039
0.050000,1.592467,2.719315,0.275658,1.034447,2.063891,-0.766024,0.077835
0.050000,1.646358,2.723859,0.329739,1.081624,0.943540,-22.407033,0.090204
0.050000,1.699820,2.729002,0.383448,1.074177,-0.148930,-21.849386,0.101443
0.050000,1.752854,2.734676,0.436786,1.066752,-0.148499,0.008612,0.111558
0.050000,1.805466,2.740814,0.489754,1.059359,-0.147864,0.012697,0.120553
0.050000,1.857658,2.747350,0.542354,1.052005,-0.147091,0.015467,0.128432
0.050000,1.909439,2.754221,0.594589,1.044691,-0.146266,0.016504,0.135204
0.050000,1.960816,2.761363,0.646460,1.037419,-0.145444,0.016421,0.140874
0.050000,2.011798,2.768716,0.697969,1.030185,-0.144680,0.015299,0.145448
0.050000,2.062393,2.776222,0.749118,1.022985,-0.144012,0.013354,0.148930
0.050000,2.112612,2.783823,0.799909,1.015811,-0.143468,0.010887,0.151326
0.050000,2.162462,2.791463,0.850342,1.008657,-0.143082,0.007715,0.152638
0.050000,2.211954,2.799087,0.900417,1.001514,-0.142867,0.004302,0.152867
0.050000,2.261096,2.806641,0.950136,0.994372,-0.142829,0.000748,0.152014
0.050000,2.309894,2.814073,0.999497,0.987224,-0.142974,-0.002898,0.150078
0.050000,2.358357,2.821331,1.048500,0.980059,-0.143295,-0.006417,0.147057
0.050000,2.406489,2.828364,1.097143,0.972870,-0.143776,-0.009626,0.142947
0.050000,2.454296,2.835123,1.145426,0.965650,-0.144396,-0.012393,0.137742
0.050000,2.501782,2.841557,1.193346,0.958394,-0.145134,-0.014755,0.131438
0.050000,2.548949,2.847620,1.240900,0.951096,-0.145942,-0.016161,0.124029
0.050000,2.595798,2.853262,1.288088,0.943758,-0.146776,-0.016688,0.115508
0.050000,2.642330,2.858439,1.334907,0.936379,-0.147579,-0.016051,0.105869
0.050000,2.688543,2.863103,1.381356,0.928964,-0.148285,-0.014135,0.095107
0.050000,2.734436,2.867211,1.427432,0.921523,-0.148823,-0.010750,0.083217
0.050000,2.780005,2.870718,1.473135,0.914068,-0.149096,-0.005469,0.070198
0.050000,2.825245,2.873582,1.518466,0.906618,-0.149012,0.001686,0.056051
0.050000,2.870152,2.875762,1.563426,0.899195,-0.148464,0.010953,0.040778
0.050000,2.914719,2.877220,1.608017,0.891828,-0.147341,0.022475,0.024390
0.050000,2.958942,2.877916,1.652245,0.884551,-0.145524,0.036337,0.006900
0.050000,3.002812,2.877816,1.696115,0.877407,-0.142897,0.052528,6.271512
0.050000,3.046324,2.876885,1.739637,0.870439,-0.139349,0.070961,6.251884
0.050000,3.089472,2.875092,1.782822,0.863701,-0.134768,0.091631,6.231235
0.050000,3.132250,2.872408,1.825684,0.857247,-0.129070,0.113955,6.209608
0.050000,3.174654,2.868805,1.868241,0.851138,-0.122188,0.137637,6.187056
0.050000,3.216680,2.864259,1.910513,0.845432,-0.114107,0.161626,6.163640
0.050000,3.258327,2.858747,1.952523,0.840192,-0.104805,0.186037,6.139430
0.050000,3.299592,2.852251,1.994296,0.835477,-0.094299,0.210124,6.114505
0.050000,3.340477,2.844752,2.035863,0.831338,-0.082794,0.230095,6.088954
0.050000,3.380983,2.836236,2.077254,0.827825,-0.070258,0.250721,6.062870
0.050000,3.421112,2.826690,2.118503,0.824975,-0.056989,0.265377,6.036355
0.050000,3.460868,2.816105,2.159644,0.822816,-0.043179,0.276202,6.009513
0.050000,3.500254,2.804472,2.200712,0.821364,-0.029037,0.282848,5.982451
0.050000,3.551516,2.789039,2.254247,1.070689,4.986500,100.310732,6.002313
0.050000,3.607528,2.773626,2.312341,1.161891,1.824024,-63.249521,6.026846
0.050000,3.663517,2.759653,2.370047,1.154116,-0.155486,-39.590199,6.050201
0.050000,3.719417,2.747045,2.427351,1.146085,-0.160628,-0.102840,6.072339
0.050000,3.775173,2.735725,2.484245,1.137873,-0.164233,-0.072098,6.093232
0.050000,3.830738,2.725612,2.540723,1.129552,-0.166421,-0.043763,6.112864
0.050000,3.886071,2.716622,2.596782,1.121178,-0.167474,-0.021065,6.131226
0.050000,3.941141,2.708676,2.652422,1.112803,-0.167506,-0.000630,6.148320
0.050000,3.995920,2.701689,2.707645,1.104464,-0.166777,0.014576,6.164150
0.050000,4.050389,2.695582,2.762455,1.096194,-0.165405,0.027439,6.178726
0.050000,4.104530,2.690276,2.816855,1.088012,-0.163631,0.035490,6.192062
0.050000,4.158332,2.685693,2.870852,1.079938,-0.161486,0.042897,6.204175
0.050000,4.211786,2.681759,2.924451,1.071975,-0.159262,0.044474,6.215081
0.050000,4.264887,2.678401,2.977657,1.064131,-0.156886,0.047523,6.224799
0.050000,4.317630,2.675549,3.030477,1.056402,-0.154578,0.046163,6.233345
0.050000,4.370013,2.673135,3.082917,1.048781,-0.152408,0.043390,6.240736
0.050000,4.422036,2.671093,3.134980,1.041263,-0.150365,0.040861,6.246989
0.050000,4.473699,2.669359,3.186671,1.033835,-0.148561,0.036084,6.252115
0.050000,4.525002,2.667872,3.237996,1.026484,-0.147031,0.030603,6.256128
0.050000,4.575945,2.666572,3.288955,1.019193,-0.145802,0.024579,6.259036
0.050000,4.626529,2.665401,3.339553,1.011949,-0.144884,0.018367,6.260847
0.050000,4.676753,2.664301,3.389790,1.004734,-0.144303,0.011606,6.261564
0.050000,4.726618,2.663218,3.439666,0.997530,-0.144077,0.004538,6.261190
0.050000,4.776122,2.662097,3.489182,0.990320,-0.144201,-0.002494,6.259723
0.050000,4.825261,2.660886,3.538336,0.983087,-0.144672,-0.009416,6.257160
0.050000,4.874033,2.659531,3.587127,0.975813,-0.145481,-0.016171,6.253496
0.050000,4.922432,2.657983,3.635551,0.968481,-0.146629,-0.022970,6.248720
0.050000,4.970452,2.656190,3.683605,0.961077,-0.148080,-0.029018,6.242823
0.050000,5.018086,2.654104,3.731284,0.953587,-0.149806,-0.034525,6.235791
0.050000,5.065324,2.651674,3.778584,0.946000,-0.151745,-0.038770,6.227610
0.050000,5.112154,2.648854,3.825499,0.938303,-0.153928,-0.043671,6.218262
0.050000,5.158564,2.645596,3.872024,0.930492,-0.156219,-0.045823,6.207731
0.050000,5.204541,2.641854,3.918152,0.922566,-0.158521,-0.046031,6.196000
0.050000,5.250067,2.637583,3.963878,0.914522,-0.160876,-0.047108,6.183049
