dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.020470,17.028826,0.099230,3.969197,79.383948,1587.678957,0.032456
0.050000,0.017344,16.949711,1.105471,20.124824,323.112535,4874.571738,0.125620
0.050000,-1.146013,16.733277,2.288791,23.666388,70.831270,-5045.625286,0.245632
0.050000,-1.609447,16.602116,2.770428,9.632742,-280.672919,-7030.083792,0.329656
0.050000,-0.642359,16.930468,3.791738,20.426213,215.869427,9930.846915,0.310825
0.050000,1.342787,17.462029,5.846820,41.101635,413.508443,3952.780336,0.208421
0.050000,3.338098,17.767698,7.865409,40.371780,-14.597106,-8562.110983,0.094435
0.050000,4.581316,17.840021,9.110728,24.906381,-309.307971,-5894.217314,0.021566
0.050000,4.946308,17.843959,9.475742,7.300273,-352.122165,-856.283880,0.000000
0.050000,4.946308,17.843959,9.475742,0.000000,-146.005461,4122.334087,0.000000
