dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.474778,3.036199,0.099230,3.969197,79.383948,1587.678957,0.032456
0.050000,1.771404,3.060029,0.396920,7.938395,79.383948,0.000000,0.125620
0.050000,2.258364,3.153504,0.893069,11.907592,79.383948,0.000000,0.245632
0.050000,2.922595,3.355962,1.587679,15.876790,79.383948,0.000000,0.329656
0.050000,3.639456,3.601324,2.345385,14.431462,-28.906549,-2165.809928,0.310825
0.050000,4.239604,3.765006,2.967728,10.462265,-79.383948,-1009.547986,0.208421
0.050000,4.658230,3.830078,3.391612,6.493067,-79.383948,0.000000,0.094435
0.050000,4.883216,3.843276,3.617035,2.523870,-79.383948,0.000000,0.021566
0.050000,4.946308,3.843959,3.680132,0.000000,-50.477399,578.130971,0.000000
0.050000,4.946308,3.843959,3.680132,0.000000,0.000000,1009.547986,0.000000
