dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.929085,-10.956428,0.099230,3.969197,79.383948,1587.678957,0.032456
0.050000,3.525464,-10.829654,1.700634,32.028088,561.177820,9635.877450,0.125620
0.050000,5.662741,-10.426268,3.875646,43.500232,229.442874,-6634.698919,0.245632
0.050000,7.454638,-9.890192,5.746013,37.407339,-121.857863,-7026.014743,0.329656
0.050000,7.921270,-9.727819,6.240088,9.881508,-550.516615,-8573.175035,0.310825
0.050000,7.136421,-9.932018,7.051067,16.219570,126.761228,13545.556860,0.208421
0.050000,5.978361,-10.107542,8.222353,23.425732,144.123254,347.240508,0.094435
0.050000,5.185117,-10.153468,9.016926,15.891444,-150.685766,-5896.180402,0.021566
0.050000,4.946308,-10.156041,9.255748,4.776450,-222.299878,-1432.282228,0.000000
0.050000,4.946308,-10.156041,9.255748,0.000000,-95.529004,2535.417478,0.000000
