dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.271897,17.005970,0.000125,0.005000,0.100000,2.000000,6.283132
0.050000,1.271741,17.005970,0.000281,0.003114,-0.037726,-2.754529,6.283143
0.050000,1.271391,17.005970,0.000631,0.006999,0.077708,2.308685,6.283168
0.050000,1.271980,17.005970,0.001220,0.011788,0.095782,0.361487,0.000027
0.050000,1.274138,17.005970,0.003378,0.043153,0.627291,10.630176,0.000096
0.050000,1.277251,17.005970,0.006491,0.062266,0.382262,-4.900585,0.000195
0.050000,1.281501,17.005971,0.010740,0.084989,0.454473,1.444220,0.000329
0.050000,1.287072,17.005974,0.016312,0.111421,0.528635,1.483248,0.000502
0.050000,1.294156,17.005978,0.023396,0.141691,0.605391,1.535118,0.000720
0.050000,1.302955,17.005986,0.032194,0.175964,0.685474,1.601666,0.000984
0.050000,1.313588,17.005998,0.042828,0.212671,0.734127,0.973048,0.001296
0.050000,1.326098,17.006016,0.055338,0.250203,0.750637,0.330215,0.001652
0.050000,1.340533,17.006043,0.069773,0.288698,0.769900,0.385257,0.002050
0.050000,1.356948,17.006080,0.086187,0.328293,0.791915,0.440299,0.002485
0.050000,1.375404,17.006130,0.104644,0.369128,0.816682,0.495340,0.002952
0.050000,1.395971,17.006196,0.125211,0.411338,0.844201,0.550378,0.003447
0.050000,1.418724,17.006281,0.147964,0.455061,0.874472,0.605412,0.003965
0.050000,1.443745,17.006387,0.172986,0.500436,0.907494,0.660439,0.004499
0.050000,1.471125,17.006517,0.200366,0.547599,0.943267,0.715459,0.005043
0.050000,1.500959,17.006676,0.230200,0.596689,0.981790,0.770469,0.005591
0.050000,1.533248,17.006865,0.262490,0.645799,0.982208,0.008351,0.006133
0.050000,1.567889,17.007087,0.297132,0.692831,0.940644,-0.831284,0.006658
0.050000,1.604768,17.007342,0.334011,0.737585,0.895067,-0.911540,0.007158
0.050000,1.643758,17.007630,0.373002,0.779822,0.844743,-1.006473,0.007623
0.050000,1.684720,17.007952,0.413966,0.819273,0.789031,-1.114235,0.008045
0.050000,1.727501,17.008304,0.456748,0.855642,0.727382,-1.232991,0.008418
0.050000,1.771930,17.008685,0.501178,0.888609,0.659337,-1.360901,0.008735
0.050000,1.817819,17.009092,0.547070,0.917836,0.584530,-1.496128,0.008993
0.050000,1.864966,17.009521,0.594218,0.942970,0.502688,-1.636841,0.009188
0.050000,1.913147,17.009967,0.642401,0.963652,0.413628,-1.781204,0.009317
0.050000,1.962244,17.010427,0.691501,0.981992,0.366815,-0.936250,0.009382
0.050000,2.012258,17.010896,0.741517,1.000333,0.366813,-0.000044,0.009381
0.050000,2.063190,17.011372,0.792451,1.018674,0.366813,0.000001,0.009314
0.050000,2.115038,17.011852,0.844302,1.037014,0.366815,0.000045,0.009182
0.050000,2.167804,17.012332,0.897069,1.055355,0.366820,0.000089,0.008984
0.050000,2.221487,17.012807,0.950754,1.073697,0.366826,0.000128,0.008721
0.050000,2.276087,17.013275,1.005356,1.092038,0.366835,0.000164,0.008392
0.050000,2.331604,17.013730,1.060875,1.110381,0.366844,0.000194,0.007998
0.050000,2.388038,17.014169,1.117311,1.128723,0.366855,0.000214,0.007538
0.050000,2.445390,17.014586,1.174665,1.147067,0.366866,0.000228,0.007013
0.050000,2.503659,17.014978,1.232935,1.165411,0.366878,0.000232,0.006422
0.050000,2.562846,17.015339,1.292123,1.183755,0.366889,0.000219,0.005766
0.050000,2.622950,17.015664,1.352228,1.202100,0.366899,0.000197,0.005044
0.050000,2.683972,17.015948,1.413250,1.220445,0.366907,0.000159,0.004257
0.050000,2.745911,17.016186,1.475190,1.238791,0.366912,0.000102,0.003404
0.050000,2.808767,17.016371,1.538047,1.257137,0.366913,0.000029,0.002486
0.050000,2.872541,17.016498,1.601821,1.275482,0.366910,-0.000064,0.001502
0.050000,2.937233,17.016562,1.666512,1.293827,0.366901,-0.000179,0.000452
0.050000,3.002841,17.016555,1.732121,1.312171,0.366885,-0.000316,6.282523
0.050000,3.069367,17.016472,1.798646,1.330514,0.366861,-0.000477,6.281342
0.050000,3.136810,17.016306,1.866089,1.348856,0.366828,-0.000665,6.280096
0.050000,3.205169,17.016050,1.934449,1.367195,0.366784,-0.000878,6.278785
0.050000,3.274444,17.015698,2.003726,1.385532,0.366728,-0.001121,6.277408
0.050000,3.344636,17.015242,2.073919,1.403864,0.366658,-0.001398,6.275966
0.050000,3.415744,17.014676,2.145028,1.422193,0.366574,-0.001696,6.274458
0.050000,3.487766,17.013991,2.217054,1.440517,0.366472,-0.002036,6.272885
0.050000,3.560703,17.013180,2.289996,1.458834,0.366351,-0.002417,6.271246
0.050000,3.634555,17.012235,2.363853,1.477145,0.366210,-0.002813,6.269542
0.050000,3.709319,17.011149,2.438626,1.495447,0.366047,-0.003262,6.267772
0.050000,3.784996,17.009914,2.514313,1.513740,0.365859,-0.003758,6.265938
0.050000,3.861584,17.008520,2.590914,1.532022,0.365646,-0.004271,6.264038
0.050000,3.939083,17.006960,2.668428,1.550293,0.365404,-0.004835,6.262072
0.050000,4.017492,17.005225,2.746856,1.568549,0.365131,-0.005461,6.260042
0.050000,4.096808,17.003306,2.826195,1.586790,0.364826,-0.006106,6.257946
0.050000,4.177031,17.001195,2.906446,1.605015,0.364486,-0.006791,6.255785
0.050000,4.301025,16.997484,3.030496,2.480992,17.519548,343.101237,6.250255
0.050000,4.469726,16.991211,3.199314,3.376360,17.907365,7.756341,6.241768
0.050000,4.645108,16.983157,3.374880,3.511318,2.699155,-304.164208,6.232799
0.050000,4.827505,16.973095,3.557555,3.653502,2.843683,2.890568,6.223322
0.050000,5.017279,16.960769,3.747728,3.803465,2.999247,3.111282,6.213310
0.050000,5.214808,16.945897,3.945816,3.961768,3.166073,3.336513,6.202732
0.050000,5.420494,16.928158,4.152266,4.128984,3.344323,3.565001,6.191557
0.050000,5.634762,16.907196,4.367557,4.305832,3.536955,3.852649,6.179751
0.050000,5.858057,16.882611,4.592201,4.492882,3.740987,4.080626,6.167276
0.050000,6.090843,16.853955,4.826745,4.690870,3.959763,4.375530,6.154094
0.050000,6.333604,16.820723,5.071770,4.900500,4.192609,4.656914,6.140164
0.050000,6.586838,16.782355,5.327894,5.122476,4.439526,4.938343,6.125440
0.050000,6.851052,16.738220,5.595768,5.357493,4.700331,5.216093,6.109878
0.050000,7.126761,16.687617,5.876083,5.606293,4.976010,5.513587,6.093426
0.050000,7.414472,16.629761,6.169553,5.869411,5.262351,5.726830,6.076035
0.050000,7.714685,16.563785,6.476930,6.147535,5.562472,6.002404,6.057651
0.050000,8.027866,16.488723,6.798980,6.441005,5.869414,6.138857,6.038218
0.050000,8.354440,16.403516,7.136487,6.750139,6.182679,6.265282,6.017682
0.050000,8.694772,16.307000,7.490240,7.075058,6.498383,6.314080,5.995985
0.050000,9.049131,16.197911,7.861011,7.415413,6.807090,6.174154,5.973072
0.050000,9.417674,16.074883,8.249547,7.770715,7.106037,5.978939,5.948890
0.050000,9.800403,15.936462,8.656537,8.139814,7.381993,5.519109,5.923390
0.050000,10.197130,15.781118,9.082594,8.521129,7.626296,4.886069,5.896528
0.050000,10.607435,15.607269,9.528210,8.912331,7.824031,3.954699,5.868268
0.050000,11.030623,15.413317,9.993727,9.310321,7.959812,2.715619,5.838587
0.050000,11.465681,15.197692,10.479288,9.711226,8.018101,1.165774,5.807475
0.050000,11.911235,14.958911,10.984793,10.110097,7.977418,-0.813660,5.774937
0.050000,12.365532,14.695649,11.509857,10.501280,7.823654,-3.075264,5.741002
0.050000,12.826409,14.406822,12.053758,10.878020,7.534802,-5.777049,5.705721
0.050000,13.291309,14.091673,12.615408,11.233014,7.099879,-8.698457,5.669173
0.050000,13.757309,13.749860,13.193329,11.558406,6.507830,-11.840974,5.631462
0.050000,14.221174,13.381539,13.785638,11.846195,5.755780,-15.041007,5.592723
0.050000,14.679450,12.987430,14.390071,12.088657,4.849253,-18.130541,5.553117
0.050000,15.128578,12.568852,15.004012,12.278821,3.803273,-20.919598,5.512833
0.050000,15.565026,12.127726,15.624560,12.410949,2.642560,-23.214264,5.472076
0.050000,15.985439,11.666543,16.248609,12.480979,1.400607,-24.839057,5.431070
0.050000,16.386776,11.188282,16.872952,12.486859,0.117605,-25.660050,5.390042
0.050000,16.766433,10.696303,17.494388,12.428729,-1.162607,-25.604227,5.349222
0.050000,17.122336,10.194210,18.109826,12.308761,-2.399370,-24.735260,5.308831
0.050000,17.453002,9.685696,18.716395,12.131381,-3.547597,-22.964540,5.269073
0.050000,17.757545,9.174410,19.311509,11.902281,-4.581992,-20.687907,5.230134
0.050000,18.035661,8.663813,19.892936,11.628544,-5.474741,-17.854984,5.192172
0.050000,18.287575,8.157076,20.458837,11.318013,-6.210632,-14.717803,5.155320
0.050000,18.513960,7.657005,21.007764,10.978541,-6.789437,-11.576116,5.119680
0.050000,18.715852,7.165995,21.538661,10.617934,-7.212133,-8.453920,5.085328
0.050000,18.894561,6.686011,22.050833,10.243452,-7.489648,-5.550299,5.052314
0.050000,19.051230,6.219698,22.542762,9.838575,-8.097540,-12.157834,5.020738
0.050000,19.186979,5.770276,23.012238,9.389519,-8.981108,-17.671357,4.990740
0.050000,19.303267,5.340379,23.457585,8.906944,-9.651509,-13.408026,4.962422
0.050000,19.401784,4.932030,23.877650,8.401291,-10.113063,-9.231078,4.935848
0.050000,19.484338,4.546696,24.271728,7.881559,-10.394634,-5.631410,4.911051
0.050000,19.552755,4.185398,24.639447,7.354389,-10.543394,-2.975213,4.888040
0.050000,19.608816,3.848767,24.980714,6.825331,-10.581155,-0.755218,4.866803
0.050000,19.654210,3.537168,25.295602,6.297762,-10.551396,0.595178,4.847318
0.050000,19.690501,3.250754,25.584306,5.774085,-10.473539,1.557139,4.829552
0.050000,19.719116,2.989547,25.847076,5.255398,-10.373728,1.996226,4.813470
0.050000,19.741404,2.752721,26.084948,4.757442,-9.959128,8.292008,4.798988
0.050000,19.758583,2.538694,26.299663,4.294306,-9.262717,13.928214,4.785982
0.050000,19.771660,2.346012,26.492789,3.862509,-8.635932,12.535705,4.774339
0.050000,19.781469,2.173381,26.665699,3.458199,-8.086202,10.994601,4.763962
0.050000,19.788694,2.019665,26.819584,3.077703,-7.609926,9.525513,4.754765
0.050000,19.793902,1.883859,26.955490,2.718126,-7.191536,8.367794,4.746674
0.050000,19.797556,1.765097,27.074308,2.376359,-6.835349,7.123747,4.739625
0.050000,19.800037,1.662627,27.176808,2.049996,-6.527258,6.161814,4.733563
0.050000,19.801653,1.575824,27.263626,1.736366,-6.272588,5.093394,4.728442
0.050000,19.802652,1.504147,27.335310,1.433670,-6.053928,4.373204,4.724224
0.050000,19.803237,1.446511,27.392949,1.152782,-5.617760,8.723370,4.720839
0.050000,19.803559,1.401223,27.438239,0.905791,-4.939814,13.558920,4.718183
0.050000,19.803724,1.366668,27.472794,0.691101,-4.293815,12.919966,4.716159
0.050000,19.803801,1.341320,27.498142,0.506959,-3.682837,12.219577,4.714676
0.050000,19.803832,1.323697,27.515765,0.352472,-3.089735,11.862038,4.713646
0.050000,19.803843,1.312376,27.527086,0.226414,-2.521164,11.371417,4.712984
0.050000,19.803846,1.305943,27.533519,0.128656,-1.955151,11.320250,4.712608
0.050000,19.803846,1.303018,27.536444,0.058507,-1.402986,11.043309,4.712437
0.050000,19.803846,1.302224,27.537238,0.015872,-0.852708,11.005562,4.712391
0.050000,19.803846,1.302189,27.537273,0.000712,-0.303183,10.990504,4.712389
0.050000,19.803846,1.302189,27.537273,0.000000,-0.014249,5.778672,4.712389
