dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.367531,3.006069,0.098925,3.957006,79.140121,1582.802422,0.002016
0.050000,1.664303,3.007419,0.395701,7.914012,79.140121,0.000000,0.006696
0.050000,2.158911,3.011656,0.890326,11.871018,79.140121,-0.000000,0.009367
0.050000,2.851369,3.016433,1.582802,15.828024,79.140121,0.000000,0.002336
0.050000,3.741625,3.007812,2.473129,19.785030,79.140121,-0.000000,6.258026
0.050000,4.680028,2.894308,3.424089,18.253369,-30.633223,-2195.466879,6.018066
0.050000,5.388305,2.512554,4.237832,14.296363,-79.140121,-970.137966,5.502409
0.050000,5.704974,1.991010,4.853725,10.339357,-79.140121,0.000000,5.033964
0.050000,5.789989,1.582548,5.271768,6.382351,-79.140121,-0.000000,4.815891
0.050000,5.803245,1.362819,5.491960,2.425345,-79.140121,0.000000,4.732406
0.050000,5.803846,1.302189,5.552594,0.000000,-48.506898,612.664456,4.712389
0.050000,5.803846,1.302189,5.552594,0.000000,0.000000,970.137966,4.712389
