dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.270395,-10.994030,0.000125,0.005000,0.100000,2.000000,6.283132
0.050000,1.270550,-10.994030,0.000281,0.003114,-0.037726,-2.754529,6.283143
0.050000,1.270900,-10.994030,0.000631,0.006999,0.077708,2.308685,6.283168
0.050000,1.272732,-10.994030,0.002462,0.036628,0.592577,10.297375,0.000027
0.050000,1.276824,-10.994030,0.006554,0.081847,0.904388,6.236218,0.000096
0.050000,1.282711,-10.994029,0.012441,0.117734,0.717738,-3.732984,0.000195
0.050000,1.290711,-10.994027,0.020442,0.160011,0.845527,2.555780,0.000329
0.050000,1.301140,-10.994023,0.030871,0.208579,0.971365,2.516752,0.000502
0.050000,1.314306,-10.994015,0.044036,0.263309,1.094609,2.464882,0.000720
0.050000,1.330507,-10.994001,0.060238,0.324036,1.214526,2.398334,0.000984
0.050000,1.349874,-10.993979,0.079604,0.387329,1.265873,1.026952,0.001296
0.050000,1.372364,-10.993946,0.102094,0.449797,1.249362,-0.330215,0.001652
0.050000,1.397929,-10.993898,0.127659,0.511302,1.230100,-0.385257,0.002050
0.050000,1.426514,-10.993833,0.156245,0.571707,1.208085,-0.440299,0.002485
0.050000,1.458058,-10.993748,0.187788,0.630872,1.183318,-0.495340,0.002952
0.050000,1.492491,-10.993637,0.222221,0.688662,1.155799,-0.550378,0.003447
0.050000,1.529737,-10.993499,0.259468,0.744939,1.125528,-0.605412,0.003965
0.050000,1.569715,-10.993330,0.299446,0.799564,1.092506,-0.660440,0.004499
0.050000,1.612335,-10.993127,0.342066,0.852401,1.056733,-0.715458,0.005043
0.050000,1.657500,-10.992886,0.387232,0.903311,1.018210,-0.770469,0.005591
0.050000,1.704959,-10.992608,0.434692,0.949201,0.917792,-2.008351,0.006133
0.050000,1.754316,-10.992292,0.484051,0.987169,0.759356,-3.168719,0.006658
0.050000,1.805186,-10.991941,0.534921,1.017415,0.604934,-3.088456,0.007158
0.050000,1.857193,-10.991556,0.586930,1.040178,0.455257,-2.993528,0.007623
0.050000,1.909978,-10.991142,0.639717,1.055727,0.310969,-2.885764,0.008045
0.050000,1.963194,-10.990704,0.692934,1.064358,0.172618,-2.767009,0.008418
0.050000,2.016512,-10.990246,0.746254,1.066391,0.040663,-2.639100,0.008735
0.050000,2.069618,-10.989775,0.799362,1.062164,-0.084530,-2.503871,0.008993
0.050000,2.122217,-10.989297,0.851964,1.052030,-0.202688,-2.363160,0.009188
0.050000,2.174032,-10.988817,0.903781,1.036348,-0.313628,-2.218796,0.009317
0.050000,2.224930,-10.988341,0.954681,1.018008,-0.366815,-1.063750,0.009382
0.050000,2.274911,-10.987872,1.004665,0.999667,-0.366813,0.000044,0.009381
0.050000,2.323976,-10.987413,1.053731,0.981326,-0.366813,-0.000001,0.009314
0.050000,2.372123,-10.986968,1.101880,0.962986,-0.366815,-0.000046,0.009182
0.050000,2.419353,-10.986538,1.149113,0.944645,-0.366820,-0.000088,0.008984
0.050000,2.465667,-10.986128,1.195428,0.926303,-0.366826,-0.000129,0.008721
0.050000,2.511063,-10.985739,1.240826,0.907962,-0.366835,-0.000164,0.008392
0.050000,2.555542,-10.985374,1.285307,0.889619,-0.366844,-0.000193,0.007998
0.050000,2.599105,-10.985036,1.328871,0.871277,-0.366855,-0.000216,0.007538
0.050000,2.641750,-10.984725,1.371517,0.852933,-0.366866,-0.000228,0.007013
0.050000,2.683479,-10.984445,1.413247,0.834589,-0.366878,-0.000230,0.006422
0.050000,2.724290,-10.984196,1.454059,0.816245,-0.366889,-0.000221,0.005766
0.050000,2.764185,-10.983980,1.493954,0.797900,-0.366899,-0.000197,0.005044
0.050000,2.803162,-10.983798,1.532932,0.779555,-0.366907,-0.000158,0.004257
0.050000,2.841222,-10.983652,1.570992,0.761209,-0.366912,-0.000103,0.003404
0.050000,2.878365,-10.983543,1.608135,0.742863,-0.366913,-0.000030,0.002486
0.050000,2.914591,-10.983470,1.644361,0.724518,-0.366910,0.000064,0.001502
0.050000,2.949900,-10.983435,1.679670,0.706173,-0.366901,0.000178,0.000452
0.050000,2.984291,-10.983439,1.714061,0.687828,-0.366886,0.000315,6.282523
0.050000,3.017765,-10.983480,1.747536,0.669485,-0.366862,0.000477,6.281342
0.050000,3.050323,-10.983560,1.780093,0.651144,-0.366829,0.000664,6.280096
0.050000,3.081963,-10.983678,1.811733,0.632805,-0.366785,0.000879,6.278785
0.050000,3.112686,-10.983835,1.842456,0.614468,-0.366729,0.001121,6.277408
0.050000,3.142492,-10.984028,1.872263,0.596135,-0.366659,0.001393,6.275966
0.050000,3.171381,-10.984258,1.901154,0.577807,-0.366574,0.001701,6.274458
0.050000,3.199354,-10.984524,1.929128,0.559483,-0.366472,0.002037,6.272885
0.050000,3.226411,-10.984825,1.956186,0.541165,-0.366352,0.002407,6.271246
0.050000,3.252551,-10.985159,1.982329,0.522855,-0.366211,0.002820,6.269542
0.050000,3.277776,-10.985525,2.007556,0.504553,-0.366047,0.003265,6.267772
0.050000,3.302086,-10.985922,2.031869,0.486260,-0.365860,0.003746,6.265938
0.050000,3.325481,-10.986347,2.055268,0.467977,-0.365646,0.004276,6.264038
0.050000,3.347962,-10.986799,2.077754,0.449707,-0.365404,0.004843,6.262072
0.050000,3.369529,-10.987277,2.099326,0.431450,-0.365132,0.005448,6.260042
0.050000,3.390183,-10.987776,2.119987,0.413209,-0.364826,0.006105,6.257946
0.050000,3.409926,-10.988295,2.139736,0.394985,-0.364486,0.006808,6.255785
0.050000,3.379152,-10.987336,2.170525,0.615781,4.415922,95.608167,6.250255
0.050000,3.310381,-10.984777,2.239343,1.376365,15.211690,215.915360,6.241768
0.050000,3.234894,-10.981307,2.314909,1.511325,2.699194,-250.249928,6.232799
0.050000,3.152345,-10.976750,2.397585,1.653512,2.843746,2.891049,6.223322
0.050000,3.062361,-10.970902,2.487759,1.803472,2.999199,3.109050,6.213310
0.050000,2.964549,-10.963534,2.585847,1.961773,3.166017,3.336359,6.202732
0.050000,2.858493,-10.954384,2.692297,2.129002,3.344575,3.571159,6.191557
0.050000,2.743749,-10.943154,2.807589,2.305837,3.536703,3.842570,6.179751
0.050000,2.619854,-10.929509,2.932234,2.492894,3.741130,4.088530,6.167276
0.050000,2.486318,-10.913065,3.066778,2.690885,3.959826,4.373918,6.154094
0.050000,2.342633,-10.893391,3.211804,2.900516,4.192617,4.655832,6.140164
0.050000,2.188271,-10.869998,3.367929,3.122494,4.439562,4.938903,6.125440
0.050000,2.022690,-10.842333,3.535805,3.357518,4.700489,5.218531,6.109878
0.050000,1.845338,-10.809776,3.716120,3.606311,4.975858,5.507374,6.093426
0.050000,1.655664,-10.771628,3.909592,3.869443,5.262644,5.735726,6.076035
0.050000,1.453122,-10.727108,4.116970,4.147560,5.562322,5.993563,6.057651
0.050000,1.237187,-10.675346,4.339022,4.441037,5.869540,6.144365,6.038218
0.050000,1.007374,-10.615377,4.576531,4.750179,6.182845,6.266088,6.017682
0.050000,0.763248,-10.546136,4.830286,5.075091,6.498251,6.308125,5.995985
0.050000,0.504464,-10.466460,5.101059,5.415459,6.807350,6.181981,5.973072
0.050000,0.230775,-10.375087,5.389597,5.770761,7.106044,5.973884,5.948890
0.050000,-0.057914,-10.270666,5.696590,6.139870,7.382182,5.522747,5.923390
0.050000,-0.361524,-10.151773,6.022650,6.521190,7.626394,4.884258,5.896528
0.050000,-0.679752,-10.016926,6.368269,6.912397,7.824150,3.955102,5.868268
0.050000,-1.012032,-9.864627,6.733789,7.310399,7.960026,2.717525,5.838587
0.050000,-1.357490,-9.693397,7.119355,7.711306,8.018142,1.162323,5.807475
0.050000,-1.714903,-9.501841,7.524864,8.110190,7.977690,-0.809040,5.774937
0.050000,-2.082676,-9.288706,7.949933,8.501374,7.823673,-3.080345,5.741002
0.050000,-2.458817,-9.052971,8.393839,8.878124,7.535014,-5.773181,5.705721
0.050000,-2.840943,-8.793922,8.855495,9.233127,7.100046,-8.699357,5.669173
