dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.409552,5.582771,0.002500,0.100000,2.000000,40.000000,6.282393
0.050000,1.413818,5.582775,0.006766,0.085329,-0.293420,-45.868402,0.001657
0.050000,1.424974,5.582816,0.017922,0.223116,2.755741,60.983232,0.005731
0.050000,1.440597,5.582950,0.033546,0.312471,1.787095,-19.372939,0.011416
0.050000,1.460692,5.583253,0.053644,0.401960,1.789787,0.053859,0.018695
0.050000,1.485267,5.583821,0.078225,0.491619,1.793177,0.067793,0.027541
0.050000,1.514327,5.584773,0.107300,0.581509,1.797802,0.092504,0.037917
0.050000,1.547880,5.586245,0.140886,0.671711,1.804032,0.124600,0.049779
0.050000,1.585934,5.588395,0.179000,0.762289,1.811569,0.150729,0.063068
0.050000,1.628495,5.591397,0.221668,0.853349,1.821191,0.192441,0.077710
0.050000,1.673329,5.595231,0.266665,0.899954,0.932101,-17.781805,0.092868
0.050000,1.718193,5.599748,0.311756,0.901804,0.036995,-17.902106,0.107744
0.050000,1.763082,5.604936,0.356944,0.903769,0.039305,0.046194,0.122324
0.050000,1.807995,5.610784,0.402236,0.905836,0.041335,0.040599,0.136590
0.050000,1.852928,5.617281,0.447635,0.907996,0.043201,0.037318,0.150529
0.050000,1.897878,5.624413,0.493148,0.910245,0.044997,0.035928,0.164127
0.050000,1.942842,5.632168,0.538776,0.912569,0.046468,0.029425,0.177373
0.050000,1.987819,5.640531,0.584524,0.914964,0.047896,0.028558,0.190256
0.050000,2.032807,5.649489,0.630395,0.917418,0.049088,0.023836,0.202768
0.050000,2.077804,5.659026,0.676392,0.919926,0.050152,0.021276,0.214899
0.050000,2.122808,5.669128,0.722516,0.922479,0.051060,0.018158,0.226644
0.050000,2.167818,5.679779,0.768769,0.925069,0.051817,0.015149,0.237996
0.050000,2.212835,5.690963,0.815154,0.927692,0.052449,0.012626,0.248951
0.050000,2.257856,5.702663,0.861671,0.930340,0.052955,0.010139,0.259505
0.050000,2.302882,5.714864,0.908321,0.933006,0.053333,0.007548,0.269655
0.050000,2.347915,5.727549,0.955105,0.935688,0.053635,0.006040,0.279399
0.050000,2.392953,5.740700,1.002024,0.938378,0.053808,0.003459,0.288735
0.050000,2.437998,5.754301,1.049078,0.941075,0.053929,0.002422,0.297662
0.050000,2.483051,5.768334,1.096267,0.943773,0.053954,0.000495,0.306181
0.050000,2.528115,5.782783,1.143590,0.946468,0.053918,-0.000719,0.314292
0.050000,2.573191,5.797630,1.191048,0.949161,0.053847,-0.001421,0.321994
0.050000,2.618282,5.812857,1.238640,0.951845,0.053677,-0.003389,0.329290
0.050000,2.663390,5.828447,1.286366,0.954522,0.053542,-0.002699,0.336181
0.050000,2.708518,5.844383,1.334226,0.957187,0.053306,-0.004732,0.342667
0.050000,2.753670,5.860648,1.382218,0.959842,0.053093,-0.004251,0.348751
0.050000,2.798850,5.877223,1.430342,0.962484,0.052854,-0.004779,0.354436
0.050000,2.844061,5.894092,1.478598,0.965113,0.052566,-0.005761,0.359721
0.050000,2.889308,5.911237,1.526984,0.967730,0.052340,-0.004522,0.364611
0.050000,2.934596,5.928640,1.575501,0.970333,0.052057,-0.005658,0.369105
0.050000,2.979929,5.946285,1.624147,0.972923,0.051799,-0.005158,0.373208
0.050000,3.025313,5.964155,1.672922,0.975501,0.051567,-0.004637,0.376920
0.050000,3.070752,5.982231,1.721825,0.978066,0.051307,-0.005202,0.380243
0.050000,3.116254,6.000497,1.770856,0.980621,0.051101,-0.004130,0.383179
0.050000,3.161823,6.018936,1.820015,0.983167,0.050904,-0.003929,0.385730
0.050000,3.207466,6.037529,1.869300,0.985702,0.050705,-0.003994,0.387896
0.050000,3.253190,6.056261,1.918711,0.988230,0.050562,-0.002845,0.389679
0.050000,3.299000,6.075114,1.968249,0.990751,0.050430,-0.002643,0.391081
0.050000,3.344903,6.094070,2.017912,0.993267,0.050314,-0.002321,0.392101
0.050000,3.390907,6.113112,2.067701,0.995779,0.050245,-0.001379,0.392740
0.050000,3.437018,6.132222,2.117616,0.998289,0.050194,-0.001027,0.393000
0.050000,3.483244,6.151384,2.167656,1.000798,0.050173,-0.000425,0.392879
0.050000,3.529591,6.170580,2.217821,1.003307,0.050183,0.000200,0.392378
0.050000,3.576068,6.189792,2.268112,1.005818,0.050218,0.000696,0.391496
0.050000,3.622681,6.209001,2.318528,1.008332,0.050293,0.001502,0.390234
0.050000,3.669439,6.228191,2.369071,1.010852,0.050381,0.001769,0.388590
0.050000,3.716349,6.247342,2.419740,1.013376,0.050498,0.002339,0.386563
0.050000,3.763419,6.266437,2.470535,1.015910,0.050664,0.003316,0.384152
0.050000,3.810656,6.285457,2.521458,1.018451,0.050820,0.003122,0.381357
0.050000,3.858068,6.304383,2.572508,1.021001,0.051008,0.003756,0.378175
0.050000,3.905663,6.323196,2.623686,1.023564,0.051252,0.004891,0.374604
0.050000,3.953449,6.341876,2.674993,1.026136,0.051451,0.003977,0.370644
0.050000,4.001432,6.360404,2.726429,1.028721,0.051701,0.004995,0.366292
0.050000,4.049620,6.378760,2.777995,1.031320,0.051978,0.005541,0.361547
0.050000,4.098021,6.396924,2.829691,1.033930,0.052206,0.004554,0.356406
0.050000,4.146641,6.414874,2.881519,1.036555,0.052492,0.005729,0.350867
0.050000,4.195487,6.432590,2.933479,1.039192,0.052745,0.005060,0.344928
0.050000,4.244566,6.450050,2.985571,1.041841,0.052974,0.004587,0.338588
0.050000,4.293884,6.467232,3.037796,1.044504,0.053257,0.005651,0.331845
0.050000,4.343446,6.484114,3.090155,1.047175,0.053422,0.003296,0.324697
