dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.878917,-8.740771,0.089826,3.593023,71.860452,1437.209049,0.027485
0.050000,3.306499,-8.641972,1.520822,28.619925,500.538052,8573.551982,0.110480
0.050000,5.377577,-8.286360,3.622209,42.027737,268.156230,-4647.636427,0.228586
0.050000,7.489971,-7.664393,5.824264,44.041116,40.267588,-4557.772840,0.341046
0.050000,8.920725,-7.107033,7.359747,30.709648,-266.629363,-6137.939018,0.392992
0.050000,8.879950,-7.108814,7.400560,0.816268,-597.867598,-6624.764705,0.319647
0.050000,6.710281,-7.547136,9.614062,44.270027,869.075175,29338.855451,0.090265
0.050000,3.564008,-7.376638,12.764951,63.017787,374.955213,-9882.399237,6.089292
0.050000,-2.417215,-4.399025,19.446359,133.628158,1412.207411,20745.043974,5.560858
0.050000,-6.289593,1.574413,26.565156,142.375941,174.955651,-24745.035204,5.013174
0.050000,-6.836841,4.496916,29.538455,59.465982,-1658.199182,-36663.096658,4.780346
0.050000,-6.865335,5.268669,30.310733,15.445562,-880.408397,15555.815683,4.718037
0.050000,-6.865484,5.304305,30.346370,0.712737,-294.656493,11715.038083,4.715131
0.050000,-6.865484,5.304305,30.346370,0.000000,-14.254740,5608.035076,4.715131
