dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,53.220849,219.673212,0.100000,4.000000,80.000000,1600.000000,6.282350
0.050000,53.390692,219.673389,0.269843,3.396868,-12.062643,-1841.252859,0.001889
0.050000,53.826915,219.675205,0.706070,8.724535,106.553341,2372.319674,0.006445
0.050000,54.437099,219.681093,1.316283,12.204254,69.594386,-739.179094,0.012858
0.050000,55.220706,219.694419,2.100003,15.674405,69.403010,-3.827531,0.021163
0.050000,56.177040,219.719550,3.056667,19.133288,69.177662,-4.506942,0.031401
0.050000,57.305166,219.761873,4.185587,22.578382,68.901891,-5.515429,0.043621
0.050000,58.603903,219.827818,5.485997,26.008216,68.596680,-6.104224,0.057876
0.050000,60.071830,219.924887,6.957130,29.422650,68.288677,-6.160052,0.074222
0.050000,61.707231,220.061673,8.598241,32.822228,67.991548,-5.942591,0.092714
0.050000,63.422439,220.238167,10.322506,34.485298,33.261416,-694.602635,0.112407
0.050000,65.130949,220.448232,12.043881,34.427500,-1.155972,-688.347751,0.132306
0.050000,66.832487,220.692057,13.762801,34.378389,-0.982208,3.475276,0.152381
0.050000,68.526820,220.969796,15.479746,34.338906,-0.789668,3.850802,0.172597
0.050000,70.213725,221.281555,17.195218,34.309442,-0.589278,4.007795,0.192919
0.050000,71.892985,221.627396,18.909721,34.290054,-0.387763,4.030293,0.213308
0.050000,73.564453,222.007346,20.623829,34.282170,-0.157679,4.601684,0.233727
0.050000,75.227955,222.421376,22.338081,34.285044,0.057486,4.303311,0.254136
0.050000,76.883363,222.869419,24.053050,34.299365,0.286405,4.578381,0.274493
0.050000,78.530579,223.351361,25.769321,34.325429,0.521293,4.697755,0.294757
0.050000,80.169507,223.867040,27.487463,34.362844,0.748293,4.540000,0.314888
0.050000,81.800075,224.416247,29.208039,34.411511,0.973340,4.500934,0.334844
0.050000,83.422230,224.998727,30.931602,34.471257,1.194929,4.431777,0.354588
0.050000,85.035936,225.614175,32.658687,34.541706,1.408983,4.281083,0.374080
0.050000,86.641172,226.262244,34.389807,34.622395,1.613761,4.095567,0.393283
0.050000,88.237932,226.942538,36.125446,34.712780,1.807704,3.878854,0.412164
0.050000,89.826228,227.654615,37.866060,34.812290,1.990196,3.649851,0.430690
0.050000,91.406085,228.397992,39.612072,34.920228,2.158761,3.371289,0.448830
0.050000,92.977540,229.172138,41.363863,35.035829,2.312022,3.065221,0.466558
0.050000,94.540649,229.976486,43.121784,35.158418,2.451782,2.795202,0.483848
0.050000,96.095485,230.810430,44.886147,35.287253,2.576713,2.498616,0.500677
0.050000,97.642137,231.673328,46.657227,35.421615,2.687235,2.210441,0.517027
0.050000,99.180714,232.564504,48.435263,35.560720,2.782099,1.897281,0.532880
0.050000,100.711339,233.483254,50.220457,35.703870,2.863002,1.618067,0.548222
0.050000,102.234159,234.428848,52.012977,35.850409,2.930781,1.355565,0.563041
0.050000,103.749341,235.400531,53.812962,35.999684,2.985501,1.094412,0.577327
0.050000,105.257070,236.397531,55.620517,36.151101,3.028324,0.856451,0.591072
0.050000,106.757556,237.419057,57.435723,36.304126,3.060504,0.643613,0.604270
0.050000,108.251029,238.464308,59.258636,36.458259,3.082657,0.443053,0.616919
0.050000,109.737740,239.532471,61.089287,36.613018,3.095196,0.250779,0.629014
0.050000,111.217966,240.622726,62.927689,36.768051,3.100648,0.109051,0.640556
0.050000,112.692002,241.734252,64.773840,36.923019,3.099360,-0.025768,0.651545
0.050000,114.160169,242.866223,66.627721,37.077611,3.091841,-0.150375,0.661981
0.050000,115.622807,244.017816,68.489300,37.231577,3.079322,-0.250380,0.671868
0.050000,117.080276,245.188209,70.358533,37.384672,3.061901,-0.348433,0.681208
0.050000,118.532959,246.376586,72.235373,37.536804,3.042638,-0.385247,0.690004
0.050000,119.981261,247.582136,74.119765,37.687826,3.020436,-0.444039,0.698262
0.050000,121.425604,248.804057,76.011647,37.837637,2.996224,-0.484238,0.705984
0.050000,122.866430,250.041553,77.910956,37.986179,2.970835,-0.507782,0.713176
0.050000,124.304199,251.293837,79.817627,38.133421,2.944848,-0.519740,0.719842
0.050000,125.739389,252.560132,81.731595,38.279360,2.918783,-0.521313,0.725987
0.050000,127.172496,253.839669,83.652795,38.424015,2.893101,-0.513639,0.731616
0.050000,128.604032,255.131691,85.581167,38.567423,2.868159,-0.498828,0.736732
0.050000,130.034525,256.435447,87.516648,38.709638,2.844292,-0.477347,0.741340
0.050000,131.464520,257.750197,89.459186,38.850752,2.822283,-0.440188,0.745445
0.050000,132.894575,259.075208,91.408728,38.990839,2.801734,-0.410977,0.749049
0.050000,134.325265,260.409757,93.365228,39.129996,2.783150,-0.371665,0.752156
