dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.271146,5.272320,0.002500,0.100000,2.000000,40.000000,6.282406
0.050000,1.276444,5.272325,0.010000,0.200000,2.000000,0.000000,0.001878
0.050000,1.288944,5.272376,0.022500,0.300000,2.000000,-0.000000,0.006321
0.050000,1.306444,5.272541,0.040000,0.400000,2.000000,0.000000,0.012570
0.050000,1.328941,5.272915,0.062500,0.500000,2.000000,-0.000000,0.020655
0.050000,1.356431,5.273620,0.090000,0.600000,2.000000,0.000000,0.030609
0.050000,1.388909,5.274807,0.122500,0.700000,2.000000,0.000000,0.042473
0.050000,1.426363,5.276657,0.160000,0.800000,2.000000,0.000000,0.056289
0.050000,1.468775,5.279383,0.202500,0.900000,2.000000,-0.000000,0.072102
0.050000,1.516119,5.283227,0.250000,1.000000,2.000000,0.000000,0.089952
0.050000,1.565871,5.288190,0.300000,1.000000,0.000000,-40.000000,0.108918
0.050000,1.615520,5.294099,0.350000,1.000000,0.000000,0.000000,0.128040
0.050000,1.665046,5.300960,0.400000,1.000000,0.000000,0.000000,0.147288
0.050000,1.714431,5.308775,0.450000,1.000000,0.000000,0.000000,0.166631
0.050000,1.763655,5.317546,0.500000,1.000000,0.000000,0.000000,0.186036
0.050000,1.812699,5.327271,0.550000,1.000000,0.000000,0.000000,0.205469
0.050000,1.861545,5.337947,0.600000,1.000000,0.000000,0.000000,0.224896
0.050000,1.910175,5.349570,0.650000,1.000000,0.000000,0.000000,0.244281
0.050000,1.958570,5.362130,0.700000,1.000000,0.000000,0.000000,0.263588
0.050000,2.006715,5.375621,0.750000,1.000000,0.000000,0.000000,0.282783
0.050000,2.054593,5.390029,0.800000,1.000000,0.000000,0.000000,0.301828
0.050000,2.102190,5.405343,0.850000,1.000000,0.000000,0.000000,0.320691
0.050000,2.149491,5.421546,0.900000,1.000000,0.000000,0.000000,0.339337
0.050000,2.196483,5.438623,0.950000,1.000000,0.000000,0.000000,0.357733
0.050000,2.243156,5.456555,1.000000,1.000000,0.000000,0.000000,0.375849
0.050000,2.289500,5.475322,1.050000,1.000000,0.000000,0.000000,0.393655
0.050000,2.335505,5.494904,1.100000,1.000000,0.000000,0.000000,0.411124
0.050000,2.381165,5.515279,1.150000,1.000000,0.000000,0.000000,0.428230
0.050000,2.426474,5.536423,1.200000,1.000000,0.000000,0.000000,0.444950
0.050000,2.471427,5.558312,1.250000,1.000000,0.000000,0.000000,0.461264
0.050000,2.516022,5.580922,1.300000,1.000000,0.000000,0.000000,0.477152
0.050000,2.560257,5.604229,1.350000,1.000000,0.000000,0.000000,0.492597
0.050000,2.604133,5.628205,1.400000,1.000000,0.000000,0.000000,0.507585
0.050000,2.647650,5.652827,1.450000,1.000000,0.000000,0.000000,0.522104
0.050000,2.690811,5.678067,1.500000,1.000000,0.000000,0.000000,0.536143
0.050000,2.733620,5.703901,1.550000,1.000000,0.000000,0.000000,0.549693
0.050000,2.776081,5.730301,1.600000,1.000000,0.000000,0.000000,0.562748
0.050000,2.818201,5.757243,1.650000,1.000000,0.000000,0.000000,0.575303
0.050000,2.859987,5.784702,1.700000,1.000000,0.000000,0.000000,0.587354
0.050000,2.901445,5.812651,1.750000,1.000000,0.000000,0.000000,0.598897
0.050000,2.942585,5.841067,1.800000,1.000000,0.000000,0.000000,0.609933
0.050000,2.983417,5.869924,1.850000,1.000000,0.000000,0.000000,0.620462
0.050000,3.023950,5.899200,1.900000,1.000000,0.000000,0.000000,0.630483
0.050000,3.064195,5.928870,1.950000,1.000000,0.000000,0.000000,0.639998
0.050000,3.104163,5.958912,2.000000,1.000000,0.000000,0.000000,0.649010
0.050000,3.143867,5.989302,2.050000,1.000000,0.000000,0.000000,0.657522
0.050000,3.183318,6.020020,2.100000,1.000000,0.000000,0.000000,0.665536
0.050000,3.222530,6.051043,2.150000,1.000000,0.000000,0.000000,0.673056
0.050000,3.261515,6.082351,2.200000,1.000000,0.000000,0.000000,0.680085
0.050000,3.300286,6.113923,2.250000,1.000000,0.000000,0.000000,0.686628
0.050000,3.338858,6.145738,2.300000,1.000000,0.000000,0.000000,0.692688
0.050000,3.377244,6.177777,2.350000,1.000000,0.000000,0.000000,0.698270
0.050000,3.415459,6.210021,2.400000,1.000000,0.000000,0.000000,0.703376
0.050000,3.453515,6.242450,2.450000,1.000000,0.000000,0.000000,0.708011
0.050000,3.491429,6.275047,2.500000,1.000000,0.000000,0.000000,0.712178
0.050000,3.529214,6.307793,2.550000,1.000000,0.000000,0.000000,0.715880
0.050000,3.566886,6.340669,2.600000,1.000000,0.000000,0.000000,0.719120
0.050000,3.604458,6.373659,2.650000,1.000000,0.000000,0.000000,0.721901
0.050000,3.641946,6.406745,2.700000,1.000000,0.000000,0.000000,0.724225
0.050000,3.679364,6.439909,2.750000,1.000000,0.000000,0.000000,0.726095
0.050000,3.716728,6.473134,2.800000,1.000000,0.000000,0.000000,0.727511
0.050000,3.754052,6.506404,2.850000,1.000000,0.000000,0.000000,0.728475
0.050000,3.791352,6.539702,2.900000,1.000000,0.000000,0.000000,0.728988
0.050000,3.828642,6.573010,2.950000,1.000000,0.000000,0.000000,0.729051
0.050000,3.865938,6.606313,3.000000,1.000000,0.000000,0.000000,0.728663
0.050000,3.903254,6.639592,3.050000,1.000000,0.000000,0.000000,0.727824
0.050000,3.940605,6.672832,3.100000,1.000000,0.000000,0.000000,0.726533
0.050000,3.978007,6.706015,3.150000,1.000000,0.000000,0.000000,0.724789
0.050000,4.015474,6.739124,3.200000,1.000000,0.000000,0.000000,0.722591
0.050000,4.053021,6.772142,3.250000,1.000000,0.000000,0.000000,0.719937
0.050000,4.090664,6.805052,3.300000,1.000000,0.000000,0.000000,0.716825
0.050000,4.128416,6.837835,3.350000,1.000000,0.000000,0.000000,0.713251
0.050000,4.166292,6.870475,3.400000,1.000000,0.000000,0.000000,0.709213
0.050000,4.204308,6.902953,3.450000,1.000000,0.000000,0.000000,0.704709
0.050000,4.242477,6.935250,3.500000,1.000000,0.000000,0.000000,0.699733
0.050000,4.280814,6.967348,3.550000,1.000000,0.000000,0.000000,0.694284
0.050000,4.319333,6.999227,3.600000,1.000000,0.000000,0.000000,0.688357
0.050000,4.358048,7.030868,3.650000,1.000000,0.000000,0.000000,0.681948
0.050000,4.396972,7.062251,3.700000,1.000000,0.000000,0.000000,0.675054
0.050000,4.436120,7.093355,3.750000,1.000000,0.000000,0.000000,0.667671
0.050000,4.475503,7.124160,3.800000,1.000000,0.000000,0.000000,0.659794
0.050000,4.515136,7.154644,3.850000,1.000000,0.000000,0.000000,0.651421
0.050000,4.555030,7.184784,3.900000,1.000000,0.000000,0.000000,0.642548
0.050000,4.593194,7.213089,3.947515,0.900614,-1.987715,-39.754300,0.633650
0.050000,4.627572,7.238129,3.990046,0.800614,-2.000000,-0.245700,0.625299
0.050000,4.658085,7.259981,4.027577,0.700614,-2.000000,0.000000,0.617625
0.050000,4.684670,7.278728,4.060107,0.600614,-2.000000,-0.000000,0.610743
0.050000,4.707271,7.294449,4.087638,0.500614,-2.000000,0.000000,0.604750
0.050000,4.725838,7.307213,4.110169,0.400614,-2.000000,0.000000,0.599731
0.050000,4.740329,7.317079,4.127700,0.300614,-2.000000,0.000000,0.595754
0.050000,4.750711,7.324095,4.140230,0.200614,-2.000000,-0.000000,0.592874
0.050000,4.756960,7.328298,4.147761,0.100614,-2.000000,0.000000,0.591127
0.050000,4.759062,7.329707,4.150292,0.000614,-2.000000,0.000000,0.590538
0.050000,4.759075,7.329716,4.150307,0.000000,-0.012285,39.754300,0.590534
0.050000,4.759075,7.329716,4.150307,0.000000,0.000000,0.245700,0.590534
