dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,53.197471,191.673222,0.100000,4.000000,80.000000,1600.000000,6.282350
0.050000,53.443582,191.673439,0.346111,4.922214,18.444282,-1231.114353,0.001889
0.050000,54.007376,191.675787,0.909910,11.275992,127.075560,2172.625562,0.006445
0.050000,54.797127,191.683407,1.699698,15.795747,90.395090,-733.609408,0.012858
0.050000,55.813225,191.700689,2.715942,20.324893,90.582932,3.756837,0.021163
0.050000,57.056118,191.733353,3.959265,24.866454,90.831224,4.965836,0.031401
0.050000,58.526158,191.788507,5.430339,29.421482,91.100561,5.386745,0.043621
0.050000,60.223527,191.874700,7.129895,33.991111,91.392578,5.840336,0.057876
0.050000,62.148146,192.001977,9.058718,38.576462,91.707012,6.288677,0.074222
0.050000,64.299493,192.181928,11.217578,43.177208,92.014925,6.158266,0.092714
0.050000,66.563206,192.414875,13.493245,45.513338,46.722591,-905.846669,0.112407
0.050000,68.824729,192.692944,15.771799,45.571076,1.154772,-911.356382,0.132306
0.050000,71.082660,193.016508,18.052795,45.619930,0.977064,-3.554168,0.152381
0.050000,73.335573,193.385817,20.335778,45.659646,0.794329,-3.654707,0.172597
0.050000,75.582001,193.800987,22.620248,45.689402,0.595116,-3.984256,0.192919
0.050000,77.820427,194.261990,24.905653,45.708106,0.374089,-4.420546,0.213308
0.050000,80.049400,194.768670,27.191489,45.716710,0.172076,-4.040247,0.233727
0.050000,82.267409,195.320710,29.477164,45.713502,-0.064168,-4.724881,0.254136
0.050000,84.473000,195.917658,31.762110,45.698935,-0.291330,-4.543251,0.274493
0.050000,86.664777,196.558922,34.045771,45.673211,-0.514480,-4.462998,0.294757
0.050000,88.841374,197.243766,36.327565,45.635878,-0.746660,-4.643597,0.314888
0.050000,91.001496,197.971326,38.606922,45.587149,-0.974573,-4.558261,0.334844
0.050000,93.143937,198.740615,40.883292,45.527397,-1.195056,-4.409661,0.354588
0.050000,95.267582,199.550534,43.156140,45.456963,-1.408680,-4.272475,0.374080
0.050000,97.371419,200.399882,45.424955,45.376295,-1.613349,-4.093375,0.393283
0.050000,99.454543,201.287370,47.689252,45.285932,-1.807269,-3.878397,0.412164
0.050000,101.516167,202.211633,49.948578,45.186530,-1.988031,-3.615242,0.430690
0.050000,103.555621,203.171244,52.202514,45.078715,-2.156310,-3.365581,0.448830
0.050000,105.572351,204.164725,54.450670,44.963116,-2.311980,-3.113413,0.466558
0.050000,107.565927,205.190560,56.692697,44.840540,-2.451509,-2.790576,0.483848
0.050000,109.536037,206.247214,58.928284,44.711737,-2.576064,-2.491100,0.500677
0.050000,111.482482,207.333138,61.157158,44.577479,-2.685158,-2.181886,0.517027
0.050000,113.405173,208.446777,63.379079,44.438432,-2.780936,-1.915542,0.532880
0.050000,115.304125,209.586589,65.593845,44.295319,-2.862276,-1.626811,0.548222
0.050000,117.179449,210.751046,67.801287,44.148840,-2.929570,-1.345875,0.563041
0.050000,119.031348,211.938642,70.001268,43.999617,-2.984464,-1.097883,0.577327
0.050000,120.860108,213.147903,72.193680,43.848243,-3.027484,-0.860392,0.591072
0.050000,122.666088,214.377386,74.378444,43.695282,-3.059220,-0.634736,0.604270
0.050000,124.449717,215.625690,76.555505,43.541224,-3.081151,-0.438618,0.616919
0.050000,126.211482,216.891450,78.724829,43.386473,-3.095015,-0.277283,0.629014
0.050000,127.951925,218.173347,80.886403,43.231471,-3.100045,-0.100587,0.640556
0.050000,129.671632,219.470106,83.040231,43.076569,-3.098051,0.039867,0.651545
0.050000,131.371230,220.780495,85.186333,42.922041,-3.090551,0.150015,0.661981
0.050000,133.051379,222.103326,87.324740,42.768135,-3.078116,0.248692,0.671868
0.050000,134.712765,223.437454,89.455490,42.615010,-3.062513,0.312070,0.681208
0.050000,136.356097,224.781777,91.578636,42.462909,-3.042002,0.410219,0.690004
0.050000,137.982106,226.135234,93.694232,42.311935,-3.019485,0.450329,0.698262
0.050000,139.591532,227.496803,95.802341,42.162166,-2.995386,0.481987,0.705984
0.050000,141.185127,228.865497,97.903024,42.013660,-2.970114,0.505431,0.713176
0.050000,142.763650,230.240365,99.996346,41.866448,-2.944241,0.517464,0.719842
0.050000,144.327864,231.620490,102.082373,41.720534,-2.918280,0.519229,0.725987
