dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.336381,16.944711,0.000125,0.005000,0.100000,2.000000,0.000926
0.050000,1.338171,16.944713,0.001915,0.035804,0.616084,10.321676,0.000798
0.050000,1.342198,16.944715,0.005942,0.080532,0.894565,5.569633,0.000510
0.050000,1.349355,16.944717,0.013099,0.143140,1.252146,7.151614,6.283185
0.050000,1.363647,16.944711,0.027391,0.285841,2.854018,32.037430,6.282387
0.050000,1.384205,16.944683,0.047948,0.411150,2.506183,-6.956688,6.281240
0.050000,1.412143,16.944607,0.075887,0.558769,2.952383,8.924003,6.279682
0.050000,1.448558,16.944442,0.112302,0.728307,3.390753,8.767386,6.277652
0.050000,1.494522,16.944129,0.158267,0.919303,3.819929,8.583534,6.275092
0.050000,1.551074,16.943583,0.214822,1.131097,4.235874,8.318893,6.271945
0.050000,1.618651,16.942696,0.282405,1.351651,4.411087,3.504251,6.268189
0.050000,1.697089,16.941349,0.360855,1.569000,4.346974,-1.282252,6.263836
0.050000,1.786193,16.939404,0.449980,1.782506,4.270127,-1.536932,6.258898
0.050000,1.885733,16.936712,0.549556,1.991529,4.180453,-1.793491,6.253393
0.050000,1.995442,16.933110,0.659324,2.195354,4.076499,-2.079087,6.247338
0.050000,2.115011,16.928428,0.778985,2.393223,3.957375,-2.382466,6.240755
0.050000,2.244094,16.922489,0.908204,2.584373,3.823001,-2.687482,6.233668
0.050000,2.382295,16.915116,1.046602,2.767958,3.671709,-3.025846,6.226104
0.050000,2.529176,16.906131,1.193758,2.943120,3.503248,-3.369210,6.218093
0.050000,2.684251,16.895366,1.349206,3.108960,3.316796,-3.729047,6.209668
0.050000,2.846479,16.882701,1.511928,3.254435,2.909505,-8.145823,6.200893
0.050000,3.014315,16.868094,1.680397,3.369398,2.299244,-12.205215,6.191859
0.050000,3.186246,16.851550,1.853123,3.454516,1.702364,-11.937597,6.182656
0.050000,3.360812,16.833121,2.028659,3.510721,1.124103,-11.565222,6.173367
0.050000,3.536613,16.812909,2.205618,3.539171,0.568994,-11.102187,6.164076
0.050000,3.712321,16.791057,2.382680,3.541242,0.041421,-10.551457,6.154857
0.050000,3.886696,16.767750,2.558605,3.518504,-0.454757,-9.923564,6.145782
0.050000,4.058587,16.743204,2.732240,3.472690,-0.916286,-9.230585,6.136915
0.050000,4.226943,16.717659,2.902523,3.405665,-1.340485,-8.483964,6.128314
0.050000,4.390818,16.691378,3.068492,3.319385,-1.725599,-7.702290,6.120031
0.050000,4.549762,16.664563,3.229683,3.223809,-1.911529,-3.718592,6.112089
0.050000,4.703762,16.637349,3.386068,3.127713,-1.921926,-0.207950,6.104490
0.050000,4.852810,16.609868,3.537629,3.031210,-1.930045,-0.162373,6.097235
0.050000,4.996906,16.582243,3.684349,2.934404,-1.936138,-0.121857,6.090327
0.050000,5.136055,16.554593,3.826218,2.837383,-1.940420,-0.085640,6.083765
0.050000,5.270266,16.527032,3.963229,2.740226,-1.943129,-0.054181,6.077549
0.050000,5.399552,16.499668,4.095380,2.643004,-1.944439,-0.026199,6.071682
0.050000,5.523929,16.472601,4.222668,2.545774,-1.944610,-0.003417,6.066161
0.050000,5.643418,16.445929,4.345098,2.448586,-1.943756,0.017064,6.060987
