dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.349341,2.944717,0.002500,0.100000,2.000000,40.000000,0.000319
0.050000,1.355594,2.944712,0.010000,0.200000,2.000000,0.000000,6.281590
0.050000,1.368094,2.944672,0.022500,0.300000,2.000000,-0.000000,6.278413
0.050000,1.385593,2.944550,0.040000,0.400000,2.000000,0.000000,6.273989
0.050000,1.408092,2.944279,0.062500,0.500000,2.000000,-0.000000,6.268345
0.050000,1.435587,2.943777,0.090000,0.600000,2.000000,0.000000,6.261516
0.050000,1.468076,2.942943,0.122500,0.700000,2.000000,0.000000,6.253545
0.050000,1.505554,2.941662,0.160000,0.800000,2.000000,0.000000,6.244485
0.050000,1.548013,2.939803,0.202500,0.900000,2.000000,-0.000000,6.234402
0.050000,1.595443,2.937224,0.250000,1.000000,2.000000,0.000000,6.223370
0.050000,1.645335,2.933951,0.300000,1.000000,0.000000,-40.000000,6.212038
0.050000,1.695188,2.930120,0.350000,1.000000,0.000000,0.000000,6.201002
0.050000,1.744996,2.925747,0.400000,1.000000,0.000000,0.000000,6.190269
0.050000,1.794755,2.920847,0.450000,1.000000,0.000000,0.000000,6.179847
0.050000,1.844462,2.915437,0.500000,1.000000,0.000000,0.000000,6.169741
0.050000,1.894112,2.909532,0.550000,1.000000,0.000000,0.000000,6.159957
0.050000,1.943703,2.903151,0.600000,1.000000,0.000000,0.000000,6.150500
0.050000,1.993232,2.896309,0.650000,1.000000,0.000000,0.000000,6.141375
0.050000,2.042698,2.889023,0.700000,1.000000,0.000000,0.000000,6.132583
0.050000,2.092100,2.881311,0.750000,1.000000,0.000000,0.000000,6.124130
0.050000,2.141436,2.873190,0.800000,1.000000,0.000000,0.000000,6.116017
0.050000,2.190706,2.864678,0.850000,1.000000,0.000000,0.000000,6.108246
0.050000,2.239909,2.855791,0.900000,1.000000,0.000000,0.000000,6.100819
0.050000,2.289047,2.846548,0.950000,1.000000,0.000000,0.000000,6.093738
0.050000,2.338121,2.836965,1.000000,1.000000,0.000000,0.000000,6.087002
0.050000,2.387130,2.827061,1.050000,1.000000,0.000000,0.000000,6.080614
0.050000,2.436076,2.816852,1.100000,1.000000,0.000000,0.000000,6.074572
0.050000,2.484962,2.806356,1.150000,1.000000,0.000000,0.000000,6.068878
0.050000,2.533789,2.795591,1.200000,1.000000,0.000000,0.000000,6.063531
0.050000,2.582560,2.784573,1.250000,1.000000,0.000000,0.000000,6.058531
0.050000,2.631277,2.773320,1.300000,1.000000,0.000000,0.000000,6.053877
0.050000,2.679944,2.761848,1.350000,1.000000,0.000000,0.000000,6.049570
0.050000,2.728562,2.750176,1.400000,1.000000,0.000000,0.000000,6.045608
0.050000,2.777136,2.738319,1.450000,1.000000,0.000000,0.000000,6.041992
0.050000,2.825669,2.726295,1.500000,1.000000,0.000000,0.000000,6.038720
0.050000,2.874164,2.714121,1.550000,1.000000,0.000000,0.000000,6.035791
0.050000,2.922625,2.701813,1.600000,1.000000,0.000000,0.000000,6.033206
0.050000,2.971057,2.689388,1.650000,1.000000,0.000000,0.000000,6.030964
0.050000,3.019463,2.676863,1.700000,1.000000,0.000000,0.000000,6.029064
0.050000,3.067847,2.664254,1.750000,1.000000,0.000000,0.000000,6.027506
0.050000,3.116213,2.651578,1.800000,1.000000,0.000000,0.000000,6.026289
0.050000,3.164567,2.638852,1.850000,1.000000,0.000000,0.000000,6.025413
0.050000,3.212911,2.626091,1.900000,1.000000,0.000000,0.000000,6.024878
0.050000,3.261250,2.613313,1.950000,1.000000,0.000000,0.000000,6.024684
