dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.349446,2.614717,0.002500,0.100000,2.000000,40.000000,0.000319
0.050000,1.355067,2.614712,0.008122,0.112434,0.248686,-35.026282,6.281590
0.050000,1.366519,2.614676,0.019573,0.229026,2.331842,41.663120,6.278413
0.050000,1.382559,2.614564,0.035613,0.320806,1.835585,-9.925146,6.273989
0.050000,1.403195,2.614316,0.056251,0.412752,1.838928,0.066863,6.268345
0.050000,1.428437,2.613855,0.081497,0.504926,1.843472,0.090888,6.261516
0.050000,1.458296,2.613088,0.111367,0.597389,1.849261,0.115777,6.253545
0.050000,1.492786,2.611909,0.145877,0.690203,1.856289,0.140550,6.244485
0.050000,1.531921,2.610195,0.185049,0.783444,1.864816,0.170558,6.234402
0.050000,1.575716,2.607814,0.228908,0.877186,1.874843,0.200532,6.223370
0.050000,1.621877,2.604786,0.275169,0.925205,0.960372,-18.289422,6.212038
0.050000,1.668098,2.601234,0.321526,0.927156,0.039020,-18.427032,6.201002
0.050000,1.714378,2.597170,0.367984,0.929160,0.040087,0.021331,6.190269
0.050000,1.760714,2.592608,0.414545,0.931208,0.040953,0.017323,6.179847
0.050000,1.807105,2.587558,0.461210,0.933298,0.041809,0.017116,6.169741
0.050000,1.853549,2.582035,0.507981,0.935423,0.042503,0.013892,6.159957
0.050000,1.900045,2.576051,0.554860,0.937581,0.043161,0.013150,6.150500
0.050000,1.946591,2.569621,0.601848,0.939766,0.043701,0.010799,6.141375
0.050000,1.993187,2.562758,0.648947,0.941976,0.044183,0.009642,6.132583
0.050000,2.039832,2.555476,0.696157,0.944205,0.044583,0.008003,6.124130
0.050000,2.086527,2.547790,0.743480,0.946451,0.044918,0.006689,6.116017
0.050000,2.133270,2.539714,0.790915,0.948710,0.045193,0.005508,6.108246
0.050000,2.180062,2.531263,0.838464,0.950981,0.045409,0.004314,6.100819
0.050000,2.226903,2.522452,0.886127,0.953259,0.045575,0.003333,6.093738
0.050000,2.273795,2.513295,0.933904,0.955544,0.045698,0.002458,6.087002
0.050000,2.320737,2.503809,0.981796,0.957833,0.045777,0.001585,6.080614
0.050000,2.367732,2.494007,1.029802,0.960125,0.045826,0.000975,6.074572
0.050000,2.414781,2.483906,1.077923,0.962417,0.045842,0.000316,6.068878
0.050000,2.461885,2.473520,1.126159,0.964708,0.045832,-0.000197,6.063531
0.050000,2.509046,2.462865,1.174508,0.966999,0.045806,-0.000529,6.058531
0.050000,2.556267,2.451958,1.222973,0.969286,0.045753,-0.001053,6.053877
0.050000,2.603550,2.440812,1.271551,0.971571,0.045702,-0.001031,6.049570
0.050000,2.650897,2.429445,1.320244,0.973852,0.045622,-0.001600,6.045608
0.050000,2.698312,2.417871,1.369050,0.976130,0.045557,-0.001299,6.041992
0.050000,2.745796,2.406107,1.417971,0.978404,0.045469,-0.001752,6.038720
0.050000,2.793354,2.394168,1.467004,0.980673,0.045396,-0.001458,6.035791
0.050000,2.840989,2.382070,1.516151,0.982939,0.045314,-0.001651,6.033206
0.050000,2.888704,2.369829,1.565411,0.985201,0.045243,-0.001409,6.030964
0.050000,2.936502,2.357461,1.614784,0.987460,0.045173,-0.001394,6.029064
0.050000,2.984389,2.344982,1.664270,0.989716,0.045114,-0.001188,6.027506
0.050000,3.032367,2.332408,1.713869,0.991969,0.045062,-0.001029,6.026289
0.050000,3.080441,2.319755,1.763580,0.994220,0.045021,-0.000835,6.025413
0.050000,3.128614,2.307039,1.813403,0.996469,0.044991,-0.000597,6.024878
0.050000,3.176892,2.294277,1.863339,0.998718,0.044971,-0.000390,6.024684
0.050000,3.225278,2.281485,1.913387,1.000966,0.044964,-0.000137,6.024831
0.050000,3.273777,2.268680,1.963548,1.003215,0.044970,0.000107,6.025318
0.050000,3.322392,2.255878,2.013821,1.005464,0.044985,0.000313,6.026145
0.050000,3.371130,2.243097,2.064207,1.007715,0.045016,0.000616,6.027314
0.050000,3.419994,2.230352,2.114705,1.009967,0.045052,0.000715,6.028825
0.050000,3.468988,2.217660,2.165316,1.012223,0.045107,0.001098,6.030677
0.050000,3.518117,2.205040,2.216040,1.014481,0.045159,0.001041,6.032871
0.050000,3.567385,2.192509,2.266878,1.016742,0.045233,0.001484,6.035407
0.050000,3.616797,2.180083,2.317828,1.019007,0.045298,0.001289,6.038287
0.050000,3.666357,2.167780,2.368892,1.021276,0.045382,0.001686,6.041511
0.050000,3.716068,2.155619,2.420069,1.023549,0.045455,0.001451,6.045079
0.050000,3.765936,2.143618,2.471360,1.025826,0.045538,0.001675,6.048992
0.050000,3.815963,2.131794,2.522766,1.028106,0.045611,0.001454,6.053251
0.050000,3.866153,2.120166,2.574285,1.030391,0.045682,0.001423,6.057856
0.050000,3.916510,2.108753,2.625919,1.032678,0.045744,0.001242,6.062807
0.050000,3.967036,2.097573,2.677668,1.034967,0.045789,0.000900,6.068105
0.050000,4.017735,2.086646,2.729530,1.037259,0.045827,0.000751,6.073751
0.050000,4.068608,2.075990,2.781508,1.039550,0.045832,0.000095,6.079743
0.050000,4.119659,2.065626,2.833600,1.041841,0.045826,-0.000115,6.086083
0.050000,4.170888,2.055572,2.885807,1.044130,0.045777,-0.000974,6.092770
0.050000,4.222297,2.045849,2.938127,1.046415,0.045704,-0.001466,6.099803
0.050000,4.273888,2.036476,2.990562,1.048695,0.045587,-0.002345,6.107181
0.050000,4.325659,2.027473,3.043110,1.050966,0.045427,-0.003193,6.114904
0.050000,4.377611,2.018861,3.095772,1.053227,0.045215,-0.004230,6.122969
0.050000,4.429744,2.010660,3.148545,1.055475,0.044954,-0.005228,6.131375
0.050000,4.482055,2.002889,3.201431,1.057706,0.044619,-0.006701,6.140118
0.050000,4.534543,1.995570,3.254427,1.059917,0.044239,-0.007596,6.149197
0.050000,4.587205,1.988722,3.307532,1.062105,0.043757,-0.009634,6.158608
0.050000,4.640037,1.982366,3.360745,1.064267,0.043233,-0.010480,6.168346
0.050000,4.693036,1.976521,3.414065,1.066397,0.042592,-0.012830,6.178407
0.050000,4.746196,1.971208,3.467490,1.068491,0.041895,-0.013941,6.188785
0.050000,4.799511,1.966447,3.521017,1.070545,0.041078,-0.016346,6.199474
0.050000,4.852974,1.962255,3.574645,1.072555,0.040191,-0.017737,6.210468
0.050000,4.906579,1.958653,3.628370,1.074514,0.039176,-0.020289,6.221759
0.050000,4.960298,1.955660,3.682173,1.076049,0.030716,-0.169197,6.234729
0.050000,4.993630,1.953212,3.715594,0.668430,-8.152385,-163.662033,6.189068
0.050000,5.030873,1.948953,3.753080,0.749718,1.625765,195.562996,6.151154
0.050000,5.070103,1.943091,3.792746,0.793312,0.871867,-15.077962,6.119842
0.050000,5.110992,1.935790,3.834281,0.830712,0.748011,-2.477116,6.094196
0.050000,5.153292,1.927224,3.877440,0.863172,0.649185,-1.976509,6.073466
0.050000,5.196822,1.917567,3.922028,0.891764,0.571853,-1.546652,6.057068
0.050000,5.241456,1.906989,3.967898,0.917402,0.512747,-1.182124,6.044554
0.050000,5.287112,1.895651,4.014941,0.940850,0.468980,-0.875338,6.035592
0.050000,5.333746,1.883709,4.063079,0.962773,0.438455,-0.610502,6.029952
0.050000,5.381346,1.871314,4.112267,0.983754,0.419625,-0.376597,6.027491
0.050000,5.429931,1.858617,4.162484,1.004328,0.411471,-0.163084,6.028146
0.050000,5.479544,1.845769,4.213734,1.025009,0.413613,0.042847,6.031935
0.050000,5.530260,1.832927,4.266050,1.046316,0.426150,0.250733,6.038953
0.050000,5.582177,1.820261,4.319490,1.068801,0.449694,0.470888,6.049378
0.050000,5.635428,1.807958,4.374144,1.093083,0.485643,0.718980,6.063483
0.050000,5.690180,1.796234,4.430137,1.119851,0.535352,0.994185,6.081644
0.050000,5.746636,1.785345,4.487633,1.149937,0.601736,1.327668,6.104365
0.050000,5.805045,1.775605,4.546849,1.184312,0.687495,1.715179,6.132298
0.050000,5.865700,1.767406,4.608056,1.224133,0.796419,2.178499,6.166266
0.050000,5.928937,1.761259,4.671590,1.270697,0.931284,2.697284,6.207294
0.050000,5.995117,1.757828,4.737859,1.325369,1.093427,3.242864,6.256613
0.050000,6.064583,1.757989,4.807326,1.389342,1.279465,3.720771,0.032449
0.050000,6.137571,1.762877,4.880477,1.463017,1.473511,3.880911,0.102649
0.050000,6.214031,1.773908,4.957729,1.545044,1.640540,3.340582,0.185298
0.050000,6.293375,1.792692,5.039266,1.630745,1.714020,1.469602,0.280960
0.050000,6.374181,1.820762,5.124809,1.710844,1.601976,-2.240878,0.388790
0.050000,6.454068,1.859057,5.213400,1.771838,1.219877,-7.641982,0.505889
0.050000,6.530014,1.907365,5.303408,1.800156,0.566363,-13.070284,0.627293
0.050000,6.599148,1.964117,5.392853,1.788885,-0.225429,-15.835834,0.746984
0.050000,6.659599,2.026824,5.479953,1.742012,-0.937464,-14.240700,0.859550
0.050000,6.710832,2.092877,5.563546,1.671856,-1.403118,-9.313092,0.961457
0.050000,6.753381,2.160176,5.643168,1.592439,-1.588333,-3.704290,1.051301
0.050000,6.788336,2.227340,5.718884,1.514317,-1.562442,0.517808,1.129286
0.050000,6.816926,2.293604,5.791052,1.443362,-1.419093,2.866979,1.196505
0.050000,6.840281,2.358629,5.860143,1.381832,-1.230605,3.769769,1.254388
0.050000,6.859354,2.422318,5.926628,1.329690,-1.042838,3.755348,1.304363
0.050000,6.874912,2.484713,5.990932,1.286088,-0.872048,3.415786,1.347723
0.050000,6.887559,2.545902,6.053415,1.249657,-0.728612,2.868730,1.385564
0.050000,6.897773,2.606007,6.114382,1.219339,-0.606367,2.444898,1.418802
0.050000,6.905929,2.665140,6.174075,1.193859,-0.509589,1.935553,1.448183
0.050000,6.912325,2.723402,6.232686,1.172227,-0.432644,1.538913,1.474312
0.050000,6.916989,2.778030,6.287514,1.096548,-1.513588,-21.618880,1.496578
0.050000,6.920139,2.826382,6.335968,0.969084,-2.549276,-20.713759,1.514684
0.050000,6.922199,2.868672,6.378308,0.846797,-2.445739,2.070735,1.529412
0.050000,6.923487,2.905062,6.414721,0.728267,-2.370610,1.502574,1.541330
0.050000,6.924242,2.935677,6.445345,0.612473,-2.315875,1.094700,1.550856
0.050000,6.924646,2.960610,6.470281,0.498724,-2.274971,0.818076,1.558297
0.050000,6.924833,2.979931,6.489604,0.386449,-2.245502,0.589394,1.563878
0.050000,6.924902,2.993691,6.503364,0.275208,-2.224830,0.413440,1.567757
0.050000,6.924917,3.001926,6.511598,0.164685,-2.210448,0.287630,1.570042
0.050000,6.924918,3.004667,6.514339,0.054817,-2.197371,0.261552,1.570796
0.050000,6.924918,3.004667,6.514339,0.000000,-1.096334,22.020731,1.570796
