dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,53.597231,219.671078,0.000125,0.005000,0.100000,2.000000,0.017482
0.050000,53.597228,219.671078,0.000128,0.000057,-0.098854,-3.977081,0.017483
0.050000,53.597221,219.671078,0.000134,0.000129,0.001432,2.005729,0.017483
0.050000,53.597210,219.671077,0.000146,0.000229,0.002005,0.011457,0.017484
0.050000,53.597192,219.671077,0.000164,0.000358,0.002578,0.011454,0.017485
0.050000,53.597166,219.671077,0.000189,0.000516,0.003150,0.011449,0.017487
0.050000,53.597131,219.671076,0.000225,0.000702,0.003722,0.011441,0.017489
0.050000,53.597085,219.671075,0.000270,0.000916,0.004294,0.011430,0.017493
0.050000,53.597027,219.671074,0.000328,0.001160,0.004865,0.011416,0.017497
0.050000,53.596956,219.671073,0.000400,0.001431,0.005435,0.011398,0.017502
0.050000,53.596870,219.671072,0.000486,0.001717,0.005717,0.005651,0.017508
0.050000,53.596770,219.671070,0.000586,0.002003,0.005713,-0.000091,0.017515
0.050000,53.596655,219.671068,0.000700,0.002288,0.005707,-0.000106,0.017523
0.050000,53.596527,219.671066,0.000829,0.002573,0.005701,-0.000121,0.017533
0.050000,53.598294,219.671097,0.002596,0.035345,0.655427,12.994509,0.017543
0.050000,53.625632,219.671576,0.029939,0.546858,10.230260,191.496656,0.017554
0.050000,53.655457,219.672100,0.059768,0.596574,0.994321,-184.718772,0.017566
0.050000,53.687766,219.672668,0.092082,0.646290,0.994330,0.000179,0.017580
0.050000,53.722561,219.673280,0.126883,0.696007,0.994340,0.000194,0.017594
0.050000,53.759841,219.673936,0.164169,0.745725,0.994352,0.000244,0.017609
0.050000,53.799483,219.674635,0.203817,0.792957,0.944648,-0.994075,0.017625
0.050000,53.841238,219.675371,0.245578,0.835218,0.845227,-1.988430,0.017642
0.050000,53.884856,219.676141,0.289203,0.872509,0.745806,-1.988415,0.017660
0.050000,53.930091,219.676940,0.334445,0.904828,0.646388,-1.988360,0.017679
0.050000,53.976692,219.677765,0.381053,0.932176,0.546961,-1.988544,0.017698
0.050000,54.024412,219.678610,0.428781,0.954553,0.447535,-1.988507,0.017717
0.050000,54.073003,219.679471,0.477379,0.971959,0.348112,-1.988462,0.017737
0.050000,54.122214,219.680345,0.526599,0.984393,0.248680,-1.988633,0.017757
0.050000,54.171799,219.681226,0.576191,0.991855,0.149249,-1.988628,0.017777
0.050000,54.221509,219.682110,0.625909,0.994346,0.049820,-1.988572,0.017797
0.050000,54.271219,219.682995,0.675626,0.994351,0.000100,-0.994407,0.017817
0.050000,54.320928,219.683882,0.725344,0.994356,0.000100,-0.000011,0.017838
0.050000,54.370639,219.684769,0.775062,0.994361,0.000104,0.000085,0.017858
0.050000,54.420349,219.685657,0.824780,0.994366,0.000100,-0.000081,0.017878
0.050000,54.470060,219.686547,0.874499,0.994371,0.000100,-0.000001,0.017898
0.050000,54.519770,219.687437,0.924218,0.994376,0.000104,0.000082,0.017918
0.050000,54.569481,219.688328,0.973937,0.994381,0.000100,-0.000085,0.017938
0.050000,54.619193,219.689221,1.023656,0.994386,0.000100,0.000009,0.017958
0.050000,54.668904,219.690114,1.073376,0.994392,0.000104,0.000068,0.017978
0.050000,54.718616,219.691008,1.123096,0.994397,0.000100,-0.000077,0.017998
0.050000,54.768328,219.691904,1.172816,0.994402,0.000100,0.000015,0.018018
0.050000,54.818040,219.692800,1.222536,0.994407,0.000103,0.000054,0.018038
0.050000,54.867753,219.693697,1.272257,0.994412,0.000100,-0.000069,0.018058
0.050000,54.917466,219.694595,1.321977,0.994417,0.000101,0.000021,0.018078
0.050000,54.967179,219.695495,1.371698,0.994422,0.000103,0.000040,0.018098
0.050000,55.016892,219.696395,1.421420,0.994427,0.000100,-0.000061,0.018118
0.050000,55.066605,219.697296,1.471141,0.994432,0.000101,0.000027,0.018138
0.050000,55.116319,219.698199,1.520863,0.994437,0.000102,0.000027,0.018158
0.050000,55.166033,219.699102,1.570585,0.994442,0.000100,-0.000054,0.018178
0.050000,55.215747,219.700006,1.620308,0.994447,0.000101,0.000033,0.018197
0.050000,55.265461,219.700911,1.670030,0.994452,0.000102,0.000015,0.018217
0.050000,55.315176,219.701818,1.719753,0.994457,0.000100,-0.000047,0.018237
0.050000,55.364891,219.702725,1.769476,0.994462,0.000102,0.000038,0.018257
0.050000,55.414606,219.703633,1.819200,0.994467,0.000102,0.000003,0.018277
0.050000,55.464321,219.704542,1.868923,0.994472,0.000100,-0.000040,0.018296
0.050000,55.514037,219.705453,1.918647,0.994477,0.000102,0.000043,0.018316
0.050000,55.563752,219.706364,1.968371,0.994483,0.000102,-0.000009,0.018336
0.050000,55.613468,219.707276,2.018096,0.994488,0.000100,-0.000034,0.018355
0.050000,55.663185,219.708189,2.067820,0.994493,0.000102,0.000048,0.018375
