dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,54.086711,191.675357,0.000125,0.005000,0.100000,2.000000,0.017482
0.050000,54.086714,191.675357,0.000128,0.000057,-0.098854,-3.977081,0.017483
0.050000,54.086721,191.675357,0.000134,0.000129,0.001432,2.005729,0.017483
0.050000,54.086732,191.675357,0.000146,0.000229,0.002005,0.011457,0.017484
0.050000,54.086750,191.675357,0.000164,0.000358,0.002578,0.011454,0.017485
0.050000,54.086776,191.675358,0.000189,0.000516,0.003150,0.011449,0.017487
0.050000,54.086811,191.675358,0.000225,0.000702,0.003722,0.011441,0.017489
0.050000,54.086857,191.675359,0.000270,0.000916,0.004294,0.011430,0.017493
0.050000,54.086915,191.675360,0.000328,0.001160,0.004865,0.011416,0.017497
0.050000,54.086986,191.675361,0.000400,0.001431,0.005435,0.011398,0.017502
0.050000,54.087072,191.675363,0.000486,0.001717,0.005717,0.005651,0.017508
0.050000,54.087172,191.675365,0.000586,0.002003,0.005713,-0.000091,0.017515
0.050000,54.087287,191.675367,0.000700,0.002288,0.005707,-0.000106,0.017523
0.050000,54.087415,191.675369,0.000829,0.002573,0.005701,-0.000121,0.017533
0.050000,54.089468,191.675405,0.002882,0.041061,0.769749,15.280955,0.017543
0.050000,54.117121,191.675890,0.030539,0.553142,10.241633,189.437686,0.017554
0.050000,54.147288,191.676420,0.060710,0.603426,1.005678,-184.719106,0.017566
0.050000,54.179968,191.676994,0.093396,0.653710,1.005669,-0.000185,0.017580
0.050000,54.215162,191.677613,0.128596,0.703993,1.005659,-0.000200,0.017594
0.050000,54.252870,191.678277,0.166309,0.754275,1.005650,-0.000181,0.017609
0.050000,54.292966,191.678984,0.206412,0.802043,0.955354,-1.005919,0.017625
0.050000,54.335199,191.679728,0.248651,0.844781,0.854771,-2.011651,0.017642
0.050000,54.379316,191.680507,0.292775,0.882491,0.754192,-2.011591,0.017660
0.050000,54.425068,191.681316,0.338534,0.915172,0.653618,-2.011482,0.017679
0.050000,54.472202,191.682150,0.385675,0.942824,0.553037,-2.011610,0.017698
0.050000,54.520466,191.683004,0.433947,0.965447,0.452462,-2.011506,0.017717
0.050000,54.569611,191.683876,0.483099,0.983042,0.351892,-2.011390,0.017737
0.050000,54.619383,191.684759,0.532880,0.995607,0.251318,-2.011488,0.017757
0.050000,54.669533,191.685650,0.583037,1.003145,0.150748,-2.011404,0.017777
0.050000,54.719807,191.686544,0.633320,1.005654,0.050184,-2.011268,0.017797
0.050000,54.770082,191.687440,0.683602,1.005649,-0.000102,-1.005731,0.017817
0.050000,54.820356,191.688336,0.733884,1.005644,-0.000103,-0.000011,0.017838
0.050000,54.870630,191.689233,0.784166,1.005639,-0.000098,0.000086,0.017858
0.050000,54.920904,191.690132,0.834448,1.005634,-0.000102,-0.000082,0.017878
0.050000,54.971177,191.691031,0.884729,1.005629,-0.000103,-0.000001,0.017898
0.050000,55.021450,191.691932,0.935011,1.005624,-0.000098,0.000083,0.017918
0.050000,55.071723,191.692833,0.985291,1.005619,-0.000103,-0.000086,0.017938
0.050000,55.121996,191.693735,1.035572,1.005613,-0.000102,0.000009,0.017958
0.050000,55.172268,191.694639,1.085853,1.005609,-0.000099,0.000069,0.017978
0.050000,55.222540,191.695543,1.136133,1.005603,-0.000103,-0.000078,0.017998
0.050000,55.272812,191.696449,1.186413,1.005598,-0.000102,0.000016,0.018018
0.050000,55.323083,191.697355,1.236692,1.005593,-0.000099,0.000055,0.018038
0.050000,55.373354,191.698262,1.286972,1.005588,-0.000103,-0.000070,0.018058
0.050000,55.423625,191.699171,1.337251,1.005583,-0.000101,0.000022,0.018078
0.050000,55.473896,191.700080,1.387530,1.005578,-0.000099,0.000041,0.018098
0.050000,55.524166,191.700991,1.437808,1.005573,-0.000103,-0.000062,0.018118
0.050000,55.574437,191.701902,1.488087,1.005568,-0.000101,0.000028,0.018138
0.050000,55.624706,191.702814,1.538365,1.005563,-0.000100,0.000028,0.018158
0.050000,55.674976,191.703728,1.588643,1.005558,-0.000103,-0.000055,0.018178
0.050000,55.725245,191.704642,1.638921,1.005553,-0.000101,0.000033,0.018197
0.050000,55.775514,191.705557,1.689198,1.005548,-0.000100,0.000015,0.018217
0.050000,55.825783,191.706474,1.739475,1.005543,-0.000102,-0.000047,0.018237
0.050000,55.876052,191.707391,1.789752,1.005538,-0.000101,0.000038,0.018257
0.050000,55.926320,191.708310,1.840029,1.005533,-0.000100,0.000003,0.018277
0.050000,55.976588,191.709229,1.890305,1.005528,-0.000102,-0.000041,0.018296
0.050000,56.026856,191.710149,1.940581,1.005523,-0.000100,0.000044,0.018316
0.050000,56.077123,191.711070,1.990857,1.005517,-0.000101,-0.000009,0.018336
0.050000,56.127390,191.711993,2.041133,1.005512,-0.000102,-0.000034,0.018355
0.050000,56.177657,191.712916,2.091408,1.005507,-0.000100,0.000048,0.018375
0.050000,56.227924,191.713840,2.141683,1.005502,-0.000101,-0.000020,0.018395
0.050000,56.278190,191.714765,2.191958,1.005497,-0.000102,-0.000027,0.018414
0.050000,56.328456,191.715692,2.242233,1.005492,-0.000100,0.000053,0.018434
0.050000,56.378722,191.716619,2.292507,1.005487,-0.000101,-0.000031,0.018454
0.050000,56.428987,191.717547,2.342781,1.005482,-0.000102,-0.000021,0.018473
0.050000,56.479253,191.718476,2.393055,1.005477,-0.000100,0.000057,0.018493
0.050000,56.529518,191.719406,2.443328,1.005472,-0.000102,-0.000042,0.018512
0.050000,56.579782,191.720337,2.493602,1.005467,-0.000102,-0.000015,0.018532
0.050000,56.630047,191.721270,2.543875,1.005462,-0.000099,0.000062,0.018551
0.050000,56.680311,191.722203,2.594148,1.005457,-0.000102,-0.000052,0.018571
