dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.259261,5.582771,0.002500,0.100000,2.000000,40.000000,0.000472
0.050000,1.266051,5.582765,0.009290,0.135799,0.715987,-25.680261,6.281288
0.050000,1.279849,5.582712,0.023089,0.275977,2.803551,41.751287,6.277352
0.050000,1.299159,5.582546,0.042399,0.386199,2.204448,-11.982064,6.271867
0.050000,1.323969,5.582178,0.067211,0.496253,2.201065,-0.067656,6.264859
0.050000,1.354264,5.581494,0.097514,0.606061,2.196169,-0.097926,6.256365
0.050000,1.390024,5.580356,0.133292,0.715560,2.189979,-0.123810,6.246431
0.050000,1.431220,5.578608,0.174526,0.824669,2.182175,-0.156064,6.235117
0.050000,1.477816,5.576071,0.221190,0.933290,2.172417,-0.195173,6.222496
0.050000,1.529763,5.572552,0.273257,1.041325,2.160717,-0.234002,6.208658
0.050000,1.584281,5.568089,0.327957,1.094017,1.053828,-22.137766,6.194411
0.050000,1.638619,5.562870,0.382545,1.091744,-0.045451,-21.985595,6.180509
0.050000,1.692761,5.556919,0.437013,1.089375,-0.047393,-0.038823,6.166966
0.050000,1.746698,5.550261,0.491359,1.086918,-0.049132,-0.034781,6.153796
0.050000,1.800418,5.542920,0.545579,1.084384,-0.050672,-0.030810,6.141009
0.050000,1.853912,5.534922,0.599668,1.081780,-0.052086,-0.028280,6.128617
0.050000,1.907174,5.526294,0.653623,1.079115,-0.053310,-0.024479,6.116629
0.050000,1.960196,5.517063,0.707443,1.076396,-0.054366,-0.021119,6.105053
0.050000,2.012974,5.507255,0.761125,1.073633,-0.055269,-0.018064,6.093896
0.050000,2.065504,5.496896,0.814666,1.070832,-0.056026,-0.015144,6.083163
0.050000,2.117783,5.486015,0.868066,1.067999,-0.056658,-0.012635,6.072859
0.050000,2.169811,5.474637,0.921323,1.065140,-0.057163,-0.010103,6.062989
0.050000,2.221586,5.462790,0.974436,1.062263,-0.057554,-0.007816,6.053554
0.050000,2.273109,5.450500,1.027405,1.059371,-0.057844,-0.005800,6.044558
0.050000,2.324381,5.437793,1.080228,1.056468,-0.058044,-0.004002,6.036002
0.050000,2.375405,5.424695,1.132906,1.053560,-0.058172,-0.002549,6.027886
0.050000,2.426183,5.411232,1.185439,1.050649,-0.058220,-0.000961,6.020212
0.050000,2.476719,5.397429,1.237826,1.047738,-0.058212,0.000154,6.012979
0.050000,2.527016,5.383312,1.290067,1.044830,-0.058156,0.001130,6.006186
0.050000,2.577081,5.368904,1.342164,1.041927,-0.058059,0.001934,5.999833
0.050000,2.626917,5.354230,1.394115,1.039031,-0.057938,0.002423,5.993919
0.050000,2.676531,5.339315,1.445922,1.036142,-0.057781,0.003129,5.988443
