dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,53.861182,192.938853,0.000125,0.005000,0.100000,2.000000,0.001372
0.050000,53.861118,192.938853,0.000189,0.001288,-0.074243,-3.484853,0.001368
0.050000,53.860973,192.938853,0.000334,0.002898,0.032196,2.128778,0.001357
0.050000,53.860715,192.938852,0.000592,0.005151,0.045074,0.257547,0.001339
0.050000,53.860313,192.938852,0.000994,0.008049,0.057949,0.257511,0.001310
0.050000,53.859733,192.938851,0.001574,0.011590,0.070822,0.257452,0.001269
0.050000,53.858944,192.938850,0.002363,0.015774,0.083690,0.257365,0.001212
0.050000,53.857914,192.938849,0.003393,0.020602,0.096552,0.257243,0.001139
0.050000,53.856611,192.938847,0.004696,0.026072,0.109406,0.257081,0.001046
0.050000,53.855001,192.938846,0.006305,0.032185,0.122250,0.256873,0.000931
0.050000,53.853071,192.938844,0.008236,0.038617,0.128645,0.127898,0.000793
0.050000,53.850818,192.938842,0.010489,0.045047,0.128593,-0.001032,0.000632
0.050000,53.848245,192.938841,0.013062,0.051473,0.128533,-0.001206,0.000448
0.050000,53.845350,192.938840,0.015957,0.057897,0.128464,-0.001379,0.000241
0.050000,53.842134,192.938840,0.019173,0.064316,0.128386,-0.001554,0.000012
0.050000,53.864834,192.938837,0.041873,0.453996,7.793598,153.304242,6.282944
0.050000,53.890978,192.938827,0.068017,0.522891,1.377897,-128.314030,6.282669
0.050000,53.919300,192.938808,0.096339,0.566443,0.871051,-10.136914,6.282370
0.050000,53.949800,192.938778,0.126839,0.609991,0.870949,-0.002032,6.282049
0.050000,53.982480,192.938736,0.159519,0.653601,0.872206,0.025124,6.281705
0.050000,54.017236,192.938678,0.194275,0.695120,0.830381,-0.836496,6.281339
0.050000,54.053842,192.938603,0.230881,0.732128,0.740162,-1.804384,6.280954
0.050000,54.092081,192.938510,0.269120,0.764773,0.652903,-1.745166,6.280551
0.050000,54.131743,192.938397,0.308782,0.793249,0.569519,-1.667694,6.280134
0.050000,54.172605,192.938264,0.349645,0.817245,0.479925,-1.791875,6.279705
0.050000,54.214446,192.938109,0.391485,0.836813,0.391350,-1.771486,6.279265
0.050000,54.257054,192.937933,0.434094,0.852180,0.307336,-1.680282,6.278817
0.050000,54.300211,192.937734,0.477252,0.863146,0.219335,-1.760018,6.278364
0.050000,54.343692,192.937515,0.520733,0.869636,0.129792,-1.790866,6.277908
0.050000,54.387288,192.937275,0.564330,0.871926,0.045803,-1.679785,6.277450
0.050000,54.430887,192.937015,0.607930,0.871998,0.001445,-0.887156,6.276993
0.050000,54.474484,192.936735,0.651527,0.871950,-0.000974,-0.048382,6.276536
0.050000,54.518086,192.936435,0.695130,0.872065,0.002302,0.065526,6.276079
0.050000,54.561691,192.936115,0.738737,0.872133,0.001357,-0.018902,6.275622
0.050000,54.605294,192.935775,0.782341,0.872085,-0.000952,-0.046178,6.275165
0.050000,54.648903,192.935415,0.825952,0.872205,0.002398,0.066988,6.274709
0.050000,54.692515,192.935036,0.869565,0.872268,0.001265,-0.022646,6.274253
0.050000,54.736124,192.934636,0.913176,0.872222,-0.000929,-0.043897,6.273796
0.050000,54.779739,192.934217,0.956793,0.872347,0.002497,0.068527,6.273340
0.050000,54.823357,192.933778,1.000414,0.872405,0.001170,-0.026542,6.272885
0.050000,54.866973,192.933318,1.044032,0.872360,-0.000907,-0.041541,6.272429
0.050000,54.910595,192.932839,1.087656,0.872490,0.002600,0.070140,6.271973
0.050000,54.954219,192.932340,1.131283,0.872543,0.001071,-0.030584,6.271518
0.050000,54.997841,192.931821,1.174908,0.872499,-0.000885,-0.039113,6.271063
0.050000,55.041469,192.931282,1.218540,0.872634,0.002706,0.071824,6.270608
0.050000,55.085100,192.930724,1.262174,0.872683,0.000968,-0.034765,6.270153
0.050000,55.128728,192.930145,1.305806,0.872640,-0.000863,-0.036617,6.269699
0.050000,55.172363,192.929547,1.349445,0.872780,0.002816,0.073576,6.269244
0.050000,55.216000,192.928928,1.393086,0.872823,0.000862,-0.039081,6.268790
0.050000,55.259634,192.928290,1.436725,0.872781,-0.000841,-0.034054,6.268336
0.050000,55.303276,192.927632,1.480372,0.872928,0.002929,0.075394,6.267882
0.050000,55.346919,192.926954,1.524020,0.872966,0.000752,-0.043525,6.267428
0.050000,55.390559,192.926257,1.567666,0.872925,-0.000819,-0.031429,6.266974
0.050000,55.434207,192.925539,1.611320,0.873077,0.003045,0.077274,6.266521
0.050000,55.477856,192.924802,1.654976,0.873109,0.000640,-0.048092,6.266068
