dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.305220,19.256287,0.098419,3.936754,78.735074,1574.701485,0.000966
0.050000,1.568748,19.256867,0.361947,5.270567,26.676267,-1041.176155,0.003232
0.050000,2.041292,19.258846,0.834495,9.450957,83.607797,1138.630602,0.004628
0.050000,2.772853,19.261453,1.566061,14.631324,103.607342,399.990900,0.001583
0.050000,3.833417,19.257222,2.626633,21.211441,131.602338,559.899931,6.272282
0.050000,2.491598,19.134543,3.974048,26.948298,114.737138,-337.304008,0.152567
0.050000,-3.392461,16.513564,10.415452,128.828083,2037.595698,38457.171214,0.675359
0.050000,-7.473725,10.810060,17.428773,140.266411,228.766570,-36176.582579,1.226088
0.050000,-8.132232,7.950444,20.363230,58.689141,-1631.545395,-37206.239297,1.465543
0.050000,-8.193992,6.969558,21.346058,19.656559,-780.651640,17017.875115,1.551058
0.050000,-8.196154,6.751073,21.564553,4.369908,-305.733030,9498.372194,1.570796
0.050000,-8.196154,6.751073,21.564553,0.000000,-87.398158,4366.697435,1.570796
