dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.222925,5.256247,0.002500,0.100000,2.000000,40.000000,6.283184
0.050000,1.230322,5.256247,0.010000,0.200000,2.000000,0.000000,0.000079
0.050000,1.242822,5.256249,0.022500,0.300000,2.000000,-0.000000,0.000210
0.050000,1.260322,5.256254,0.040000,0.400000,2.000000,0.000000,0.000390
0.050000,1.282822,5.256265,0.062500,0.500000,2.000000,-0.000000,0.000617
0.050000,1.310322,5.256286,0.090000,0.600000,2.000000,0.000000,0.000885
0.050000,1.342821,5.256320,0.122500,0.700000,2.000000,0.000000,0.001191
0.050000,1.380321,5.256371,0.160000,0.800000,2.000000,0.000000,0.001527
0.050000,1.422821,5.256443,0.202500,0.900000,2.000000,-0.000000,0.001887
0.050000,1.470321,5.256542,0.250000,1.000000,2.000000,0.000000,0.002263
0.050000,1.520321,5.256664,0.300000,1.000000,0.000000,-40.000000,0.002629
0.050000,1.570321,5.256804,0.350000,1.000000,0.000000,0.000000,0.002964
0.050000,1.620321,5.256960,0.400000,1.000000,0.000000,0.000000,0.003269
0.050000,1.670320,5.257131,0.450000,1.000000,0.000000,0.000000,0.003543
0.050000,1.720320,5.257314,0.500000,1.000000,0.000000,0.000000,0.003786
0.050000,1.770320,5.257509,0.550000,1.000000,0.000000,0.000000,0.003998
0.050000,1.820319,5.257713,0.600000,1.000000,0.000000,0.000000,0.004180
0.050000,1.870319,5.257926,0.650000,1.000000,0.000000,0.000000,0.004331
0.050000,1.920318,5.258146,0.700000,1.000000,0.000000,0.000000,0.004451
0.050000,1.970318,5.258371,0.750000,1.000000,0.000000,0.000000,0.004540
0.050000,2.020317,5.258599,0.800000,1.000000,0.000000,0.000000,0.004599
0.050000,2.070317,5.258830,0.850000,1.000000,0.000000,0.000000,0.004627
0.050000,2.120316,5.259062,0.900000,1.000000,0.000000,0.000000,0.004624
0.050000,2.170316,5.259292,0.950000,1.000000,0.000000,0.000000,0.004591
