dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,53.206841,190.407595,0.000125,0.005000,0.100000,2.000000,6.283020
0.050000,53.206852,190.407595,0.000136,0.000211,-0.095781,-3.915619,6.283020
0.050000,53.206875,190.407595,0.000159,0.000475,0.005274,2.021092,6.283022
0.050000,53.206917,190.407595,0.000201,0.000844,0.007383,0.042181,6.283025
0.050000,53.206983,190.407595,0.000267,0.001318,0.009491,0.042168,6.283030
0.050000,53.207078,190.407595,0.000362,0.001898,0.011598,0.042147,6.283037
0.050000,53.207207,190.407595,0.000491,0.002583,0.013704,0.042115,6.283046
0.050000,53.207376,190.407595,0.000660,0.003374,0.015808,0.042071,6.283058
0.050000,53.207590,190.407595,0.000874,0.004269,0.017908,0.042013,6.283073
0.050000,53.207853,190.407595,0.001137,0.005270,0.020005,0.041938,6.283092
0.050000,53.208169,190.407595,0.001453,0.006322,0.021044,0.020775,6.283115
0.050000,53.208538,190.407595,0.001822,0.007373,0.021026,-0.000371,6.283141
0.050000,53.208959,190.407595,0.002243,0.008423,0.021004,-0.000433,6.283171
0.050000,53.222390,190.407595,0.015674,0.268626,5.204050,103.660922,0.000019
0.050000,53.247916,190.407596,0.041200,0.510520,4.837891,-7.323180,0.000057
0.050000,53.275995,190.407598,0.069279,0.561566,1.020911,-76.339591,0.000098
0.050000,53.306625,190.407602,0.099909,0.612610,1.020875,-0.000737,0.000143
0.050000,53.339808,190.407607,0.133092,0.663653,1.020862,-0.000256,0.000192
0.050000,53.375542,190.407615,0.168826,0.714694,1.020817,-0.000889,0.000245
0.050000,53.413829,190.407626,0.207113,0.765731,1.020748,-0.001391,0.000301
0.050000,53.454540,190.407639,0.247824,0.814215,0.969681,-1.021342,0.000361
0.050000,53.497419,190.407656,0.290703,0.857592,0.867540,-2.042812,0.000423
0.050000,53.542212,190.407676,0.335496,0.895861,0.765371,-2.043389,0.000489
0.050000,53.588664,190.407701,0.381948,0.929026,0.663300,-2.041421,0.000557
0.050000,53.636518,190.407729,0.429802,0.957081,0.561119,-2.043610,0.000627
0.050000,53.685519,190.407761,0.478803,0.980033,0.459032,-2.041752,0.000698
0.050000,53.735413,190.407798,0.528697,0.997879,0.356915,-2.042331,0.000771
0.050000,53.785944,190.407839,0.579228,1.010619,0.254799,-2.042327,0.000845
0.050000,53.836857,190.407884,0.630141,1.018255,0.152735,-2.041272,0.000919
0.050000,53.887896,190.407932,0.681180,1.020786,0.050601,-2.042682,0.000993
0.050000,53.938934,190.407985,0.732219,1.020767,-0.000378,-1.019573,0.001067
