dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.353904,16.974669,0.000125,0.005000,0.100000,2.000000,0.001815
0.050000,1.356811,16.974674,0.003033,0.058153,1.063068,19.261367,0.001607
0.050000,1.363353,16.974683,0.009574,0.130827,1.453466,7.807957,0.001140
0.050000,1.374979,16.974691,0.021200,0.232517,2.033815,11.606970,0.000310
0.050000,1.395519,16.974684,0.041741,0.410813,3.565917,30.642049,6.282198
0.050000,1.426165,16.974625,0.072386,0.612907,4.041875,9.519167,6.280330
0.050000,1.467866,16.974453,0.114088,0.834039,4.422645,7.615400,6.277789
0.050000,1.522320,16.974069,0.168543,1.089094,5.101098,13.569052,6.274471
0.050000,1.591202,16.973324,0.237429,1.377726,5.772641,13.430854,6.270274
0.050000,1.676186,16.972006,0.322423,1.699887,6.443222,13.411628,6.265095
0.050000,1.778063,16.969847,0.424323,2.037996,6.762169,6.378928,6.258888
0.050000,1.896754,16.966533,0.543060,2.374738,6.734836,-0.546647,6.251657
0.050000,2.032143,16.961704,0.678535,2.709505,6.695344,-0.789836,6.243409
0.050000,2.184064,16.954954,0.830606,3.041414,6.638188,-1.143122,6.234154
0.050000,2.352299,16.945834,0.999088,3.369646,6.564632,-1.471135,6.223905
0.050000,2.536563,16.933859,1.183741,3.693050,6.468090,-1.930833,6.212680
0.050000,2.736485,16.918516,1.384251,4.010211,6.343223,-2.497342,6.200500
0.050000,2.951606,16.899268,1.600231,4.319598,6.187725,-3.109949,6.187394
0.050000,3.181355,16.875568,1.831200,4.619375,5.995542,-3.843669,6.173397
0.050000,3.425048,16.846872,2.076576,4.907518,5.762869,-4.653451,6.158548
0.050000,3.681070,16.812765,2.334860,5.165686,5.163356,-11.990273,6.142947
0.050000,3.946937,16.773033,2.603680,5.376395,4.214174,-18.983625,6.126746
0.050000,4.220147,16.727605,2.880640,5.539204,3.256187,-19.159751,6.110096
0.050000,4.498206,16.676557,3.163347,5.654134,2.298596,-19.151817,6.093153
0.050000,4.778679,16.620117,3.449442,5.721905,1.355421,-18.863492,6.076065
0.050000,5.059214,16.558658,3.736630,5.743759,0.437087,-18.366694,6.058980
0.050000,5.337587,16.492691,4.022713,5.721654,-0.442107,-17.583877,6.042037
0.050000,5.611730,16.422839,4.305615,5.658040,-1.272278,-16.603414,6.025365
0.050000,5.879760,16.349821,4.583413,5.555966,-2.041483,-15.384103,6.009084
0.050000,6.139999,16.274425,4.854353,5.418806,-2.743207,-14.034482,5.993303
0.050000,6.391600,16.197283,5.117515,5.263243,-3.111249,-7.360849,5.978077
0.050000,6.634450,16.118836,5.372722,5.104123,-3.182410,-1.423220,5.963419
0.050000,6.868477,16.039507,5.619828,4.942129,-3.239871,-1.149202,5.949340
0.050000,7.093649,15.959703,5.858723,4.777902,-3.284541,-0.893403,5.935847
0.050000,7.309967,15.879808,6.089324,4.612023,-3.317578,-0.660742,5.922947
0.050000,7.517465,15.800185,6.311575,4.445009,-3.340277,-0.453993,5.910643
0.050000,7.716202,15.721174,6.525441,4.277334,-3.353510,-0.264659,5.898938
0.050000,7.906258,15.643093,6.730911,4.109399,-3.358702,-0.103824,5.887833
0.050000,8.087731,15.566235,6.927989,3.941547,-3.357026,0.033520,5.877328
0.050000,8.260733,15.490873,7.116693,3.774081,-3.349336,0.153793,5.867420
0.050000,8.425388,15.417257,7.297055,3.607241,-3.336785,0.251029,5.858109
0.050000,8.581824,15.345616,7.469116,3.441216,-3.320517,0.325351,5.849390
0.050000,8.730178,15.276159,7.632924,3.276158,-3.301141,0.387519,5.841261
0.050000,8.870584,15.209076,7.788532,3.112179,-3.279596,0.430911,5.833717
0.050000,9.003180,15.144540,7.935999,2.949336,-3.256851,0.454895,5.826755
0.050000,9.128097,15.082705,8.075383,2.787678,-3.233161,0.473802,5.820371
0.050000,9.245466,15.023714,8.206743,2.627204,-3.209491,0.473386,5.814559
0.050000,9.355410,14.967691,8.330138,2.467888,-3.186302,0.463781,5.809317
0.050000,9.458045,14.914749,8.445623,2.309694,-3.163885,0.448353,5.804639
0.050000,9.553478,14.864990,8.553250,2.152546,-3.142973,0.418225,5.800523
0.050000,9.641810,14.818501,8.653068,1.996365,-3.123604,0.387394,5.796965
0.050000,9.723128,14.775361,8.745120,1.841049,-3.106329,0.345503,5.793961
0.050000,9.797511,14.735641,8.829445,1.686485,-3.091275,0.301071,5.791509
0.050000,9.865026,14.699398,8.906072,1.532551,-3.078689,0.251717,5.789607
0.050000,9.925728,14.666685,8.975028,1.379113,-3.068763,0.198522,5.788253
0.050000,9.979661,14.637545,9.036330,1.226034,-3.061578,0.143705,5.787446
0.050000,10.026856,14.612013,9.089988,1.073170,-3.057274,0.086084,5.787185
0.050000,10.067331,14.590115,9.136007,0.920377,-3.055867,0.028125,5.787469
0.050000,10.101094,14.571874,9.174382,0.767507,-3.057393,-0.030502,5.788299
0.050000,10.128137,14.557300,9.205103,0.614415,-3.061834,-0.088826,5.789676
0.050000,10.148445,14.546399,9.228151,0.460959,-3.069121,-0.145751,5.791602
0.050000,10.161985,14.539169,9.243501,0.307000,-3.079179,-0.201160,5.794077
0.050000,10.168716,14.535596,9.251121,0.152407,-3.091866,-0.253733,5.797104
0.050000,10.168585,14.535663,9.251269,0.002944,-2.989256,2.052196,5.800686
0.050000,10.161526,14.539339,9.259227,0.159164,3.124403,122.273175,5.804826
0.050000,10.147466,14.546585,9.275045,0.316354,3.143802,0.387980,5.809527
0.050000,10.126319,14.557351,9.298774,0.474597,3.164852,0.421013,5.814793
0.050000,10.097993,14.571577,9.330472,0.633959,3.187244,0.447843,5.820629
0.050000,10.062385,14.589187,9.370197,0.794485,3.210515,0.465414,5.827038
0.050000,10.019389,14.610095,9.418006,0.956195,3.234194,0.473577,5.834024
0.050000,9.968892,14.634197,9.473961,1.119085,3.257809,0.472302,5.841592
0.050000,9.910779,14.661377,9.538116,1.283115,3.280589,0.455607,5.849746
0.050000,9.844931,14.691500,9.610527,1.448215,3.302012,0.428450,5.858490
0.050000,9.771231,14.724411,9.691241,1.614279,3.321277,0.385297,5.867827
0.050000,9.689568,14.759940,9.780299,1.781151,3.337447,0.323397,5.877759
0.050000,9.599832,14.797894,9.877731,1.948640,3.349772,0.246501,5.888290
0.050000,9.501926,14.838060,9.983556,2.116502,3.357235,0.149277,5.899421
0.050000,9.395762,14.880202,10.097777,2.284435,3.358675,0.028784,5.911151
0.050000,9.281272,14.924063,10.220382,2.452093,3.353155,-0.110399,5.923480
0.050000,9.158403,14.969363,10.351335,2.619069,3.339510,-0.272901,5.936405
0.050000,9.027130,15.015800,10.490580,2.784891,3.316448,-0.461227,5.949923
0.050000,8.887453,15.063049,10.638032,2.949037,3.282925,-0.670465,5.964026
0.050000,8.739407,15.110767,10.793578,3.110924,3.237738,-0.903738,5.978708
0.050000,8.583062,15.158589,10.957074,3.269910,3.179725,-1.160269,5.993958
0.050000,8.418528,15.206135,11.128339,3.425308,3.107944,-1.435611,6.009763
0.050000,8.245963,15.253010,11.307158,3.576379,3.021430,-1.730273,6.026107
0.050000,8.065569,15.298810,11.493275,3.722340,2.919225,-2.044102,6.042973
0.050000,7.877602,15.343122,11.686395,3.862399,2.801168,-2.361146,6.060339
0.050000,7.682369,15.385535,11.886182,3.995734,2.666704,-2.689282,6.078181
0.050000,7.480233,15.425637,12.092257,4.121499,2.515294,-3.028191,6.096472
0.050000,7.271612,15.463029,12.304202,4.238910,2.348233,-3.341223,6.115183
0.050000,7.056976,15.497324,12.521561,4.347171,2.165208,-3.660508,6.134280
0.050000,6.836850,15.528160,12.743837,4.445521,1.966998,-3.964193,6.153729
0.050000,6.611801,15.555198,12.970503,4.533330,1.756183,-4.216302,6.173491
0.050000,6.382449,15.578134,13.201000,4.609936,1.532117,-4.481315,6.193527
0.050000,6.149443,15.596702,13.434745,4.674895,1.299181,-4.658717,6.213794
0.050000,5.913466,15.610679,13.671135,4.727798,1.058070,-4.822225,6.234251
0.050000,5.675229,15.619887,13.909549,4.768294,0.809916,-4.963090,6.254852
0.050000,5.435451,15.624198,14.149367,4.796349,0.561102,-4.976270,6.275554
0.050000,5.194857,15.623537,14.389961,4.811885,0.310720,-5.007641,0.013126
0.050000,4.967148,15.618311,14.617730,4.555389,-5.129926,-108.812921,0.032774
0.050000,4.941890,15.617411,14.643004,0.505479,-80.998206,-1517.365599,0.038150
0.050000,4.905643,15.615913,14.679282,0.725559,4.401606,1707.996247,0.044313
