dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379315,2.974692,0.002500,0.100000,2.000000,40.000000,0.000829
0.050000,1.384819,2.974685,0.010000,0.200000,2.000000,0.000000,6.280901
0.050000,1.397319,2.974625,0.022500,0.300000,2.000000,-0.000000,6.275715
0.050000,1.414818,2.974430,0.040000,0.400000,2.000000,0.000000,6.268461
0.050000,1.437314,2.973994,0.062500,0.500000,2.000000,-0.000000,6.259147
0.050000,1.464801,2.973177,0.090000,0.600000,2.000000,0.000000,6.247788
0.050000,1.497272,2.971810,0.122500,0.700000,2.000000,0.000000,6.234410
0.050000,1.534712,2.969693,0.160000,0.800000,2.000000,0.000000,6.219051
0.050000,1.577099,2.966603,0.202500,0.900000,2.000000,-0.000000,6.201765
0.050000,1.624402,2.962286,0.250000,1.000000,2.000000,0.000000,6.182631
0.050000,1.674096,2.956771,0.300000,1.000000,0.000000,-40.000000,6.162739
0.050000,1.723671,2.950276,0.350000,1.000000,0.000000,0.000000,6.143142
0.050000,1.773111,2.942819,0.400000,1.000000,0.000000,0.000000,6.123879
0.050000,1.822400,2.934420,0.450000,1.000000,0.000000,0.000000,6.104987
0.050000,1.871523,2.925101,0.500000,1.000000,0.000000,0.000000,6.086500
0.050000,1.920468,2.914886,0.550000,1.000000,0.000000,0.000000,6.068449
0.050000,1.969223,2.903801,0.600000,1.000000,0.000000,0.000000,6.050862
0.050000,2.017778,2.891871,0.650000,1.000000,0.000000,0.000000,6.033764
0.050000,2.066126,2.879126,0.700000,1.000000,0.000000,0.000000,6.017179
0.050000,2.114259,2.865593,0.750000,1.000000,0.000000,0.000000,6.001125
0.050000,2.162173,2.851302,0.800000,1.000000,0.000000,0.000000,5.985619
0.050000,2.209863,2.836284,0.850000,1.000000,0.000000,0.000000,5.970676
0.050000,2.257329,2.820568,0.900000,1.000000,0.000000,0.000000,5.956307
0.050000,2.304568,2.804185,0.950000,1.000000,0.000000,0.000000,5.942520
0.050000,2.351583,2.787166,1.000000,1.000000,0.000000,0.000000,5.929323
0.050000,2.398373,2.769543,1.050000,1.000000,0.000000,0.000000,5.916720
0.050000,2.444944,2.751345,1.100000,1.000000,0.000000,0.000000,5.904716
0.050000,2.491298,2.732603,1.150000,1.000000,0.000000,0.000000,5.893311
0.050000,2.537441,2.713348,1.200000,1.000000,0.000000,0.000000,5.882506
0.050000,2.583380,2.693609,1.250000,1.000000,0.000000,0.000000,5.872299
0.050000,2.629120,2.673415,1.300000,1.000000,0.000000,0.000000,5.862690
0.050000,2.674671,2.652797,1.350000,1.000000,0.000000,0.000000,5.853675
0.050000,2.720040,2.631782,1.400000,1.000000,0.000000,0.000000,5.845252
0.050000,2.765237,2.610400,1.450000,1.000000,0.000000,0.000000,5.837416
0.050000,2.810272,2.588676,1.500000,1.000000,0.000000,0.000000,5.830164
0.050000,2.855154,2.566640,1.550000,1.000000,0.000000,0.000000,5.823491
0.050000,2.899894,2.544318,1.600000,1.000000,0.000000,0.000000,5.817394
0.050000,2.944504,2.521736,1.650000,1.000000,0.000000,0.000000,5.811867
0.050000,2.988995,2.498920,1.700000,1.000000,0.000000,0.000000,5.806908
0.050000,3.033379,2.475897,1.750000,1.000000,0.000000,0.000000,5.802511
0.050000,3.077668,2.452691,1.800000,1.000000,0.000000,0.000000,5.798674
0.050000,3.121873,2.429328,1.850000,1.000000,0.000000,0.000000,5.795394
0.050000,3.166009,2.405832,1.900000,1.000000,0.000000,0.000000,5.792666
0.050000,3.210086,2.382227,1.950000,1.000000,0.000000,0.000000,5.790490
0.050000,3.254119,2.358539,2.000000,1.000000,0.000000,0.000000,5.788862
0.050000,3.298120,2.334792,2.050000,1.000000,0.000000,0.000000,5.787781
0.050000,3.342101,2.311009,2.100000,1.000000,0.000000,0.000000,5.787247
0.050000,3.386076,2.287214,2.150000,1.000000,0.000000,0.000000,5.787259
0.050000,3.430058,2.263432,2.200000,1.000000,0.000000,0.000000,5.787816
0.050000,3.474060,2.239686,2.250000,1.000000,0.000000,0.000000,5.788920
0.050000,3.518094,2.216002,2.300000,1.000000,0.000000,0.000000,5.790570
0.050000,3.562174,2.192401,2.350000,1.000000,0.000000,0.000000,5.792770
0.050000,3.606312,2.168911,2.400000,1.000000,0.000000,0.000000,5.795521
0.050000,3.650521,2.145553,2.450000,1.000000,0.000000,0.000000,5.798825
0.050000,3.694814,2.122355,2.500000,1.000000,0.000000,0.000000,5.802686
0.050000,3.739202,2.099339,2.550000,1.000000,0.000000,0.000000,5.807106
0.050000,3.783698,2.076533,2.600000,1.000000,0.000000,0.000000,5.812089
0.050000,3.828313,2.053962,2.650000,1.000000,0.000000,0.000000,5.817640
0.050000,3.873059,2.031651,2.700000,1.000000,0.000000,0.000000,5.823761
0.050000,3.917947,2.009627,2.750000,1.000000,0.000000,0.000000,5.830458
0.050000,3.962988,1.987918,2.800000,1.000000,0.000000,0.000000,5.837735
0.050000,4.008192,1.966550,2.850000,1.000000,0.000000,0.000000,5.845596
0.050000,4.053569,1.945552,2.900000,1.000000,0.000000,0.000000,5.854044
0.050000,4.099128,1.924951,2.950000,1.000000,0.000000,0.000000,5.863084
0.050000,4.144876,1.904776,3.000000,1.000000,0.000000,0.000000,5.872718
0.050000,4.190823,1.885057,3.050000,1.000000,0.000000,0.000000,5.882950
0.050000,4.236976,1.865822,3.100000,1.000000,0.000000,0.000000,5.893780
0.050000,4.283339,1.847103,3.150000,1.000000,0.000000,0.000000,5.905211
0.050000,4.329919,1.828929,3.200000,1.000000,0.000000,0.000000,5.917241
0.050000,4.376719,1.811330,3.250000,1.000000,0.000000,0.000000,5.929868
0.050000,4.423742,1.794338,3.300000,1.000000,0.000000,0.000000,5.943090
