dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.379589,2.644692,0.002500,0.100000,2.000000,40.000000,0.000829
0.050000,1.384065,2.644686,0.006977,0.089534,-0.209320,-44.186400,6.280901
0.050000,1.394854,2.644634,0.017765,0.215769,2.524696,54.680311,6.275715
0.050000,1.409959,2.644466,0.032871,0.302122,1.727069,-15.952524,6.268461
0.050000,1.429382,2.644090,0.052298,0.388525,1.728063,0.019870,6.259147
0.050000,1.453123,2.643384,0.076049,0.475033,1.730158,0.041908,6.247788
0.050000,1.481183,2.642202,0.104134,0.561704,1.733413,0.065099,6.234410
0.050000,1.513562,2.640372,0.136565,0.648617,1.738270,0.097142,6.219051
0.050000,1.550260,2.637696,0.173361,0.735909,1.745823,0.151045,6.201765
0.050000,1.591275,2.633953,0.214546,0.823699,1.755810,0.199747,6.182631
0.050000,1.634444,2.629162,0.257980,0.868693,0.899871,-17.118772,6.162739
0.050000,1.677608,2.623507,0.301513,0.870648,0.039097,-17.215482,6.143142
0.050000,1.720762,2.616997,0.345155,0.872851,0.044062,0.099304,6.123879
0.050000,1.763905,2.609645,0.388920,0.875302,0.049033,0.099402,6.104987
0.050000,1.807035,2.601463,0.432819,0.877971,0.053373,0.086809,6.086500
0.050000,1.850148,2.592465,0.476861,0.880850,0.057575,0.084044,6.068449
0.050000,1.893244,2.582666,0.521057,0.883914,0.061289,0.074282,6.050862
0.050000,1.936320,2.572083,0.565414,0.887145,0.064618,0.066566,6.033764
0.050000,1.979375,2.560732,0.609941,0.890526,0.067614,0.059921,6.017179
0.050000,2.022409,2.548633,0.654642,0.894035,0.070181,0.051351,6.001125
0.050000,2.065419,2.535805,0.699525,0.897654,0.072376,0.043890,5.985619
0.050000,2.108406,2.522267,0.744593,0.901365,0.074233,0.037154,5.970676
0.050000,2.151370,2.508041,0.789851,0.905153,0.075749,0.030302,5.956307
0.050000,2.194311,2.493149,0.835301,0.909000,0.076943,0.023889,5.942520
0.050000,2.237230,2.477613,0.880946,0.912893,0.077861,0.018370,5.929323
0.050000,2.280129,2.461455,0.926786,0.916818,0.078508,0.012928,5.916720
0.050000,2.323009,2.444699,0.972825,0.920764,0.078924,0.008315,5.904716
0.050000,2.365874,2.427367,1.019061,0.924722,0.079151,0.004548,5.893311
0.050000,2.408727,2.409485,1.065495,0.928681,0.079187,0.000711,5.882506
0.050000,2.451571,2.391075,1.112127,0.932634,0.079046,-0.002804,5.872299
0.050000,2.494410,2.372163,1.158955,0.936576,0.078837,-0.004195,5.862690
0.050000,2.537251,2.352771,1.205980,0.940500,0.078491,-0.006903,5.853675
0.050000,2.580098,2.332924,1.253200,0.944402,0.078032,-0.009184,5.845252
0.050000,2.622957,2.312647,1.300614,0.948281,0.077590,-0.008853,5.837416
0.050000,2.665836,2.291964,1.348221,0.952134,0.077049,-0.010807,5.830164
0.050000,2.708741,2.270898,1.396019,0.955958,0.076483,-0.011322,5.823491
0.050000,2.751681,2.249474,1.444007,0.959756,0.075957,-0.010526,5.817394
0.050000,2.794664,2.227716,1.492183,0.963524,0.075365,-0.011832,5.811867
0.050000,2.837699,2.205647,1.540546,0.967266,0.074852,-0.010273,5.806908
0.050000,2.880795,2.183291,1.589095,0.970983,0.074334,-0.010346,5.802511
0.050000,2.923962,2.160673,1.637829,0.974675,0.073845,-0.009785,5.798674
0.050000,2.967210,2.137816,1.686747,0.978347,0.073436,-0.008174,5.795394
0.050000,3.010551,2.114742,1.735847,0.981998,0.073021,-0.008298,5.792666
0.050000,3.053996,2.091477,1.785128,0.985635,0.072725,-0.005929,5.790490
0.050000,3.097555,2.068044,1.834591,0.989257,0.072439,-0.005724,5.788862
0.050000,3.141242,2.044466,1.884235,0.992869,0.072247,-0.003828,5.787781
0.050000,3.185068,2.020766,1.934058,0.996474,0.072106,-0.002829,5.787247
0.050000,3.229047,1.996970,1.984062,1.000076,0.072040,-0.001324,5.787259
0.050000,3.273191,1.973100,2.034246,1.003678,0.072039,-0.000006,5.787816
0.050000,3.317513,1.949182,2.084610,1.007284,0.072112,0.001455,5.788920
0.050000,3.362027,1.925239,2.135155,1.010896,0.072243,0.002606,5.790570
0.050000,3.406747,1.901296,2.185881,1.014519,0.072461,0.004377,5.792770
0.050000,3.451686,1.877379,2.236789,1.018154,0.072707,0.004920,5.795521
0.050000,3.496859,1.853512,2.287879,1.021808,0.073064,0.007129,5.798825
0.050000,3.542280,1.829722,2.339153,1.025479,0.073420,0.007117,5.802686
0.050000,3.587963,1.806036,2.390612,1.029172,0.073872,0.009045,5.807106
0.050000,3.633923,1.782480,2.442256,1.032889,0.074344,0.009432,5.812089
0.050000,3.680172,1.759081,2.494088,1.036631,0.074842,0.009968,5.817640
0.050000,3.726727,1.735869,2.546108,1.040402,0.075418,0.011517,5.823761
0.050000,3.773599,1.712872,2.598318,1.044199,0.075928,0.010207,5.830458
0.050000,3.820803,1.690121,2.650719,1.048025,0.076517,0.011770,5.837735
0.050000,3.868352,1.667644,2.703313,1.051877,0.077059,0.010838,5.845596
0.050000,3.916259,1.645475,2.756100,1.055755,0.077559,0.010011,5.854044
0.050000,3.964536,1.623645,2.809083,1.059659,0.078080,0.010421,5.863084
0.050000,4.013194,1.602188,2.862263,1.063583,0.078472,0.007840,5.872718
0.050000,4.062244,1.581137,2.915639,1.067523,0.078802,0.006605,5.882950
0.050000,4.111695,1.560528,2.969213,1.071477,0.079068,0.005310,5.893780
0.050000,4.161556,1.540396,3.022984,1.075434,0.079157,0.001777,5.905211
0.050000,4.211834,1.520779,3.076954,1.079390,0.079105,-0.001036,5.917241
0.050000,4.262535,1.501714,3.131120,1.083334,0.078894,-0.004229,5.929868
0.050000,4.313662,1.483239,3.185483,1.087258,0.078466,-0.008550,5.943090
0.050000,4.365218,1.465393,3.240041,1.091147,0.077792,-0.013480,5.956902
0.050000,4.417203,1.448216,3.294790,1.094991,0.076874,-0.018358,5.971296
0.050000,4.469615,1.431747,3.349729,1.098774,0.075656,-0.024355,5.986263
0.050000,4.522450,1.416027,3.404853,1.102480,0.074129,-0.030552,6.001792
0.050000,4.575701,1.401094,3.460158,1.106094,0.072276,-0.037050,6.017869
0.050000,4.629358,1.386990,3.515637,1.109596,0.070050,-0.044535,6.034476
0.050000,4.683409,1.373752,3.571286,1.112968,0.067427,-0.052447,6.051595
0.050000,4.737839,1.361419,3.627096,1.116193,0.064499,-0.058572,6.069202
0.050000,4.792630,1.350028,3.683058,1.119249,0.061118,-0.067608,6.087272
0.050000,4.847760,1.339614,3.739164,1.122114,0.057305,-0.076255,6.105777
0.050000,4.903208,1.330211,3.795403,1.124779,0.053297,-0.080168,6.124685
0.050000,4.958945,1.321851,3.851763,1.127211,0.048648,-0.092972,6.143963
0.050000,5.014943,1.314562,3.908234,1.129410,0.043983,-0.093318,6.163573
0.050000,5.071170,1.308370,3.964801,1.131345,0.038698,-0.105682,6.183477
0.050000,5.127594,1.303298,4.021452,1.133022,0.033530,-0.103369,6.203634
0.050000,5.184177,1.299366,4.078172,1.134401,0.027589,-0.118816,6.224002
0.050000,5.240885,1.296589,4.134947,1.135507,0.022125,-0.109289,6.244536
0.050000,5.297678,1.294980,4.191763,1.136319,0.016231,-0.117872,6.265194
0.050000,5.354518,1.294546,4.248605,1.136832,0.010266,-0.119310,0.002743
0.050000,5.411365,1.295293,4.305457,1.137047,0.004285,-0.119607,0.023511
0.050000,5.462547,1.296886,4.356664,1.024138,-2.258172,-45.249148,0.035366
0.050000,5.514412,1.298868,4.408567,1.038051,0.278256,50.728571,0.041131
0.050000,5.566528,1.301180,4.460734,1.043350,0.105978,-3.445576,0.047699
0.050000,5.618903,1.303871,4.513178,1.048882,0.110648,0.093411,0.055106
0.050000,5.671545,1.306990,4.565913,1.054685,0.116055,0.108144,0.063392
0.050000,5.724463,1.310590,4.618952,1.060795,0.122194,0.122779,0.072604
0.050000,5.777664,1.314728,4.672315,1.067247,0.129056,0.137235,0.082794
0.050000,5.831159,1.319465,4.726019,1.074087,0.136795,0.154777,0.094020
0.050000,5.884957,1.324868,4.780087,1.081355,0.145348,0.171073,0.106347
0.050000,5.939064,1.331009,4.834542,1.089099,0.154883,0.190695,0.119848
0.050000,5.993490,1.337965,4.889410,1.097374,0.165507,0.212466,0.134604
0.050000,6.048240,1.345823,4.944722,1.106228,0.177087,0.231618,0.150700
0.050000,6.103319,1.354676,5.000508,1.115715,0.189725,0.252744,0.168235
0.050000,6.158728,1.364624,5.056802,1.125887,0.203457,0.274643,0.187312
0.050000,6.214463,1.375780,5.113642,1.136808,0.218403,0.298915,0.208043
0.050000,6.270514,1.388265,5.171067,1.148503,0.233904,0.310028,0.230547
0.050000,6.326865,1.402211,5.229119,1.161027,0.250485,0.331616,0.254950
0.050000,6.383489,1.417761,5.287839,1.174399,0.267438,0.339068,0.281379
0.050000,6.440343,1.435069,5.347269,1.188614,0.284298,0.337190,0.309963
0.050000,6.497371,1.454299,5.407452,1.203643,0.300581,0.325658,0.340825
0.050000,6.554491,1.475622,5.468422,1.219413,0.315394,0.296271,0.374078
0.050000,6.611599,1.499216,5.530212,1.235794,0.327632,0.244751,0.409814
0.050000,6.668558,1.525255,5.592841,1.252584,0.335790,0.163160,0.448096
0.050000,6.725198,1.553908,5.656316,1.269499,0.338318,0.050562,0.488943
0.050000,6.781309,1.585329,5.720625,1.286183,0.333662,-0.093117,0.532319
0.050000,6.836642,1.619641,5.785734,1.302166,0.319672,-0.279793,0.578119
0.050000,6.890913,1.656930,5.851580,1.316927,0.295214,-0.489173,0.626158
0.050000,6.943806,1.697227,5.918074,1.329891,0.259280,-0.718675,0.676163
0.050000,6.994987,1.740501,5.985099,1.340486,0.211895,-0.947704,0.727774
0.050000,7.044121,1.786653,6.052509,1.348198,0.154244,-1.153017,0.780555
0.050000,7.090887,1.835509,6.120140,1.352635,0.088752,-1.309842,0.834009
0.050000,7.135002,1.886835,6.187819,1.353568,0.018659,-1.401855,0.887605
0.050000,7.176233,1.940341,6.255369,1.350997,-0.051427,-1.401716,0.940810
0.050000,7.214416,1.995706,6.322623,1.345093,-0.118086,-1.333191,0.993121
0.050000,7.249457,2.052591,6.389435,1.336231,-0.177223,-1.182738,1.044087
0.050000,7.281331,2.110664,6.455680,1.324909,-0.226454,-0.984605,1.093336
0.050000,7.310077,2.169614,6.521265,1.311690,-0.264369,-0.758309,1.140580
0.050000,7.335784,2.229158,6.586121,1.297134,-0.291134,-0.535306,1.185618
0.050000,7.358581,2.289057,6.650212,1.281801,-0.306659,-0.310485,1.228329
0.050000,7.378623,2.349106,6.713518,1.266120,-0.313616,-0.139146,1.268664
0.050000,7.396083,2.409145,6.776043,1.250520,-0.312006,0.032194,1.306632
0.050000,7.411134,2.469045,6.837805,1.235234,-0.305714,0.125841,1.342284
0.050000,7.423954,2.528710,6.898832,1.220538,-0.293922,0.235851,1.375707
0.050000,7.434713,2.588069,6.959158,1.206526,-0.280242,0.273596,1.407007
0.050000,7.443570,2.647073,7.018824,1.193310,-0.264320,0.318437,1.436303
0.050000,7.450578,2.704764,7.076939,1.162296,-0.620272,-7.119037,1.463300
0.050000,7.455704,2.758239,7.130658,1.074396,-1.757997,-22.754508,1.486957
0.050000,7.459205,2.805595,7.178144,0.949717,-2.493583,-14.711716,1.506871
0.050000,7.461504,2.846933,7.219546,0.828039,-2.433562,1.200421,1.523500
0.050000,7.462936,2.882343,7.254985,0.708774,-2.385309,0.965062,1.537210
0.050000,7.463764,2.911905,7.284558,0.591461,-2.346243,0.781310,1.548294
0.050000,7.464195,2.935681,7.308338,0.475605,-2.317132,0.582220,1.556978
0.050000,7.464386,2.953725,7.326383,0.360903,-2.294030,0.462041,1.563435
0.050000,7.464450,2.966077,7.338735,0.247042,-2.277233,0.335951,1.567790
0.050000,7.464463,2.972762,7.345421,0.133702,-2.266801,0.208637,1.570125
0.050000,7.464463,2.974692,7.347350,0.038594,-1.902160,7.292822,1.570796
0.050000,7.464463,2.974692,7.347350,0.000000,-0.771872,22.605757,1.570796
